"keyfield","sav_spec","rep","height","pc","surv_meth","pc_meth","crew_grass"
"201206271037-108","Syringodium",5,50,38,NA,NA,NA
"201206271037-108","Syringodium",6,50,63,NA,NA,NA
"201206271037-108","Syringodium",7,50,63,NA,NA,NA
"201206271037-108","Syringodium",8,50,15,NA,NA,NA
"201206271037-108","Syringodium",9,50,15,NA,NA,NA
"201206271037-108","Halodule",1,NA,0,NA,NA,NA
"201206271037-108","Halodule",2,NA,0,NA,NA,NA
"201206271037-108","Halodule",3,NA,0,NA,NA,NA
"201206271037-108","Halodule",4,NA,0,NA,NA,NA
"201206271037-108","Halodule",5,NA,0,NA,NA,NA
"201206271037-108","Halodule",6,NA,0,NA,NA,NA
"201206271037-108","Halodule",7,NA,0,NA,NA,NA
"201206271037-108","Halodule",8,NA,0,NA,NA,NA
"201206271037-108","Halodule",9,NA,0,NA,NA,NA
"201206271037-108","Macroalgae",1,NA,NA,NA,NA,NA
"201206271037-108","Macroalgae",2,NA,NA,NA,NA,NA
"201206271037-108","Macroalgae",3,NA,NA,NA,NA,NA
"201206271037-108","Macroalgae",4,NA,NA,NA,NA,NA
"201206271037-108","Macroalgae",5,NA,NA,NA,NA,NA
"201206271037-108","Macroalgae",6,NA,NA,NA,NA,NA
"201206271037-108","Macroalgae",7,NA,NA,NA,NA,NA
"201206271037-108","Macroalgae",8,NA,NA,NA,NA,NA
"201206271037-108","Macroalgae",9,NA,NA,NA,NA,NA
"201206271106-106","Thalassia",1,NA,0,NA,NA,NA
"201206271106-106","Thalassia",2,40,15,NA,NA,NA
"201206271106-106","Thalassia",3,50,38,NA,NA,NA
"201206271106-106","Thalassia",4,40,38,NA,NA,NA
"201206271106-106","Thalassia",5,50,15,NA,NA,NA
"201206271106-106","Thalassia",6,50,63,NA,NA,NA
"201206271106-106","Thalassia",7,50,38,NA,NA,NA
"201206271106-106","Thalassia",8,50,15,NA,NA,NA
"201206271106-106","Thalassia",9,50,38,NA,NA,NA
"201206271106-106","Syringodium",1,NA,0,NA,NA,NA
"201206271106-106","Syringodium",2,50,3,NA,NA,NA
"201206271106-106","Syringodium",3,50,15,NA,NA,NA
"201206271106-106","Syringodium",4,40,15,NA,NA,NA
"201206271106-106","Syringodium",5,50,15,NA,NA,NA
"201206271106-106","Syringodium",6,50,38,NA,NA,NA
"201206271106-106","Syringodium",7,50,38,NA,NA,NA
"201206271106-106","Syringodium",8,50,15,NA,NA,NA
"201206271106-106","Syringodium",9,NA,0,NA,NA,NA
"201206271106-106","Halodule",1,NA,0,NA,NA,NA
"201206271106-106","Halodule",2,NA,0,NA,NA,NA
"201206271106-106","Halodule",3,NA,0,NA,NA,NA
"201206271106-106","Halodule",4,NA,0,NA,NA,NA
"201206271106-106","Halodule",5,NA,0,NA,NA,NA
"201206271106-106","Halodule",6,NA,0,NA,NA,NA
"201206271106-106","Halodule",7,NA,0,NA,NA,NA
"201206271106-106","Halodule",8,NA,0,NA,NA,NA
"201206271106-106","Halodule",9,NA,0,NA,NA,NA
"201206271106-106","Macroalgae",1,NA,NA,NA,NA,NA
"201206271106-106","Macroalgae",2,NA,NA,NA,NA,NA
"201206271106-106","Macroalgae",3,NA,NA,NA,NA,NA
"201206271106-106","Macroalgae",4,NA,NA,NA,NA,NA
"201206271106-106","Macroalgae",5,NA,NA,NA,NA,NA
"201206271106-106","Macroalgae",6,NA,NA,NA,NA,NA
"201206271106-106","Macroalgae",7,NA,NA,NA,NA,NA
"201206271106-106","Macroalgae",8,NA,NA,NA,NA,NA
"201206271106-106","Macroalgae",9,NA,NA,NA,NA,NA
"201206271249-112","Thalassia",1,NA,0,NA,NA,NA
"201206271249-112","Thalassia",2,NA,0,NA,NA,NA
"201206271249-112","Thalassia",3,70,15,NA,NA,NA
"201206271249-112","Thalassia",4,NA,0,NA,NA,NA
"201206271249-112","Thalassia",5,NA,0,NA,NA,NA
"201206271249-112","Thalassia",6,NA,0,NA,NA,NA
"201206271249-112","Thalassia",7,NA,0,NA,NA,NA
"201206271249-112","Thalassia",8,70,63,NA,NA,NA
"201206271249-112","Thalassia",9,NA,0,NA,NA,NA
"201206271249-112","Syringodium",1,70,38,NA,NA,NA
"201206271249-112","Syringodium",2,70,88,NA,NA,NA
"201206271249-112","Syringodium",3,70,63,NA,NA,NA
"201206271249-112","Syringodium",4,60,63,NA,NA,NA
"201206271249-112","Syringodium",5,70,63,NA,NA,NA
"201206271249-112","Syringodium",6,60,88,NA,NA,NA
"201206271249-112","Syringodium",7,60,63,NA,NA,NA
"201206271249-112","Syringodium",8,70,38,NA,NA,NA
"201206271249-112","Syringodium",9,60,88,NA,NA,NA
"201206271249-112","Halodule",1,NA,0,NA,NA,NA
"201206271249-112","Halodule",2,NA,0,NA,NA,NA
"201206271249-112","Halodule",3,NA,0,NA,NA,NA
"201206271249-112","Halodule",4,NA,0,NA,NA,NA
"201206271249-112","Halodule",5,NA,0,NA,NA,NA
"201206271249-112","Halodule",6,NA,0,NA,NA,NA
"201206271249-112","Halodule",7,NA,0,NA,NA,NA
"201206271249-112","Halodule",8,NA,0,NA,NA,NA
"201206271249-112","Halodule",9,NA,0,NA,NA,NA
"201206271249-112","Macroalgae",1,NA,NA,NA,NA,NA
"201206271249-112","Macroalgae",2,NA,NA,NA,NA,NA
"201206271249-112","Macroalgae",3,NA,NA,NA,NA,NA
"201206271249-112","Macroalgae",4,NA,NA,NA,NA,NA
"201206271249-112","Macroalgae",5,NA,NA,NA,NA,NA
"201206271249-112","Macroalgae",6,NA,NA,NA,NA,NA
"201206271249-112","Macroalgae",7,NA,NA,NA,NA,NA
"201206271249-112","Macroalgae",8,NA,NA,NA,NA,NA
"201206271249-112","Macroalgae",9,NA,NA,NA,NA,NA
"201206271139-022","Thalassia",1,60,88,NA,NA,NA
"201206271139-022","Thalassia",2,60,38,NA,NA,NA
"201206271139-022","Thalassia",3,60,88,NA,NA,NA
"201206271139-022","Thalassia",4,NA,0,NA,NA,NA
"201206271139-022","Thalassia",5,70,15,NA,NA,NA
"201206271139-022","Thalassia",6,60,15,NA,NA,NA
"201206271139-022","Thalassia",7,NA,0,NA,NA,NA
"201206271139-022","Thalassia",8,NA,0,NA,NA,NA
"201206271139-022","Thalassia",9,70,15,NA,NA,NA
"201206271139-022","Syringodium",1,NA,0,NA,NA,NA
"201206271139-022","Syringodium",2,NA,0,NA,NA,NA
"201206271139-022","Syringodium",3,NA,0,NA,NA,NA
"201206271139-022","Syringodium",4,60,63,NA,NA,NA
"201206271139-022","Syringodium",5,70,63,NA,NA,NA
"201206271139-022","Syringodium",6,70,63,NA,NA,NA
"201206271139-022","Syringodium",7,70,63,NA,NA,NA
"201206271139-022","Syringodium",8,60,38,NA,NA,NA
"201206271139-022","Syringodium",9,60,63,NA,NA,NA
"201206271139-022","Halodule",1,NA,0,NA,NA,NA
"201206271139-022","Halodule",2,NA,0,NA,NA,NA
"201206271139-022","Halodule",3,NA,0,NA,NA,NA
"201206271139-022","Halodule",4,NA,0,NA,NA,NA
"201206271139-022","Halodule",5,NA,0,NA,NA,NA
"201206271139-022","Halodule",6,NA,0,NA,NA,NA
"201206271139-022","Halodule",7,NA,0,NA,NA,NA
"201206271139-022","Halodule",8,NA,0,NA,NA,NA
"201206271139-022","Halodule",9,NA,0,NA,NA,NA
"201206271139-022","Macroalgae",1,NA,NA,NA,NA,NA
"201206271139-022","Macroalgae",2,NA,NA,NA,NA,NA
"201206271139-022","Macroalgae",3,NA,NA,NA,NA,NA
"201206271139-022","Macroalgae",4,NA,NA,NA,NA,NA
"201206271139-022","Macroalgae",5,NA,NA,NA,NA,NA
"201206271139-022","Macroalgae",6,NA,NA,NA,NA,NA
"201206271139-022","Macroalgae",7,NA,NA,NA,NA,NA
"201206271139-022","Macroalgae",8,NA,NA,NA,NA,NA
"201206271139-022","Macroalgae",9,NA,NA,NA,NA,NA
"201206271305-123","Thalassia",1,40,38,NA,NA,NA
"201206271305-123","Thalassia",2,50,15,NA,NA,NA
"201206271305-123","Thalassia",3,50,63,NA,NA,NA
"201206271305-123","Thalassia",4,50,3,NA,NA,NA
"201206271305-123","Thalassia",5,50,38,NA,NA,NA
"201206271305-123","Thalassia",6,50,63,NA,NA,NA
"201206271305-123","Thalassia",7,60,38,NA,NA,NA
"201206271305-123","Thalassia",8,60,15,NA,NA,NA
"201206271305-123","Thalassia",9,60,15,NA,NA,NA
"201206271305-123","Syringodium",1,60,38,NA,NA,NA
"201206271305-123","Syringodium",2,60,88,NA,NA,NA
"201206271305-123","Syringodium",3,50,38,NA,NA,NA
"201206271305-123","Syringodium",4,60,38,NA,NA,NA
"201206271305-123","Syringodium",5,50,38,NA,NA,NA
"201206271305-123","Syringodium",6,50,15,NA,NA,NA
"201206271305-123","Syringodium",7,60,38,NA,NA,NA
"201206271305-123","Syringodium",8,60,63,NA,NA,NA
"201206271305-123","Syringodium",9,60,88,NA,NA,NA
"201206271305-123","Halodule",1,NA,0,NA,NA,NA
"201206271305-123","Halodule",2,NA,0,NA,NA,NA
"201206271305-123","Halodule",3,NA,0,NA,NA,NA
"201206271305-123","Halodule",4,NA,0,NA,NA,NA
"201206271305-123","Halodule",5,NA,0,NA,NA,NA
"201206271305-123","Halodule",6,NA,0,NA,NA,NA
"201206271305-123","Halodule",7,NA,0,NA,NA,NA
"201206271305-123","Halodule",8,NA,0,NA,NA,NA
"201206271305-123","Halodule",9,NA,0,NA,NA,NA
"201206271305-123","Macroalgae",1,NA,NA,NA,NA,NA
"201206271305-123","Macroalgae",2,NA,NA,NA,NA,NA
"201206271305-123","Macroalgae",3,NA,NA,NA,NA,NA
"201206271305-123","Macroalgae",4,NA,NA,NA,NA,NA
"201206271305-123","Macroalgae",5,NA,NA,NA,NA,NA
"201206271305-123","Macroalgae",6,NA,NA,NA,NA,NA
"201206271305-123","Macroalgae",7,NA,NA,NA,NA,NA
"201206271305-123","Macroalgae",8,NA,NA,NA,NA,NA
"201206271305-123","Macroalgae",9,NA,NA,NA,NA,NA
"201206271324-134","Thalassia",1,40,38,NA,NA,NA
"201206271324-134","Thalassia",2,50,15,NA,NA,NA
"201206271324-134","Thalassia",3,60,38,NA,NA,NA
"201206271324-134","Thalassia",4,60,38,NA,NA,NA
"201206271324-134","Thalassia",5,60,38,NA,NA,NA
"201206271324-134","Thalassia",6,60,63,NA,NA,NA
"201206271324-134","Thalassia",7,60,63,NA,NA,NA
"201206271324-134","Thalassia",8,60,38,NA,NA,NA
"201206271324-134","Thalassia",9,60,38,NA,NA,NA
"201206271324-134","Syringodium",1,40,38,NA,NA,NA
"201206271324-134","Syringodium",2,60,63,NA,NA,NA
"201206271324-134","Syringodium",3,60,38,NA,NA,NA
"201206271324-134","Syringodium",4,60,63,NA,NA,NA
"201206271324-134","Syringodium",5,60,15,NA,NA,NA
"201206271324-134","Syringodium",6,60,15,NA,NA,NA
"201206271324-134","Syringodium",7,60,15,NA,NA,NA
"201206271324-134","Syringodium",8,60,15,NA,NA,NA
"201206271324-134","Syringodium",9,60,38,NA,NA,NA
"201206271324-134","Halodule",1,NA,0,NA,NA,NA
"201206271324-134","Halodule",2,NA,0,NA,NA,NA
"201206271324-134","Halodule",3,NA,0,NA,NA,NA
"201206271324-134","Halodule",4,NA,0,NA,NA,NA
"201206271324-134","Halodule",5,NA,0,NA,NA,NA
"201206271324-134","Halodule",6,NA,0,NA,NA,NA
"201206271324-134","Halodule",7,NA,0,NA,NA,NA
"201206271324-134","Halodule",8,NA,0,NA,NA,NA
"201206271324-134","Halodule",9,NA,0,NA,NA,NA
"201206271324-134","Macroalgae",1,NA,NA,NA,NA,NA
"201206271324-134","Macroalgae",2,NA,NA,NA,NA,NA
"201206271324-134","Macroalgae",3,NA,NA,NA,NA,NA
"201206271324-134","Macroalgae",4,NA,NA,NA,NA,NA
"201206271324-134","Macroalgae",5,NA,NA,NA,NA,NA
"201206271324-134","Macroalgae",6,NA,NA,NA,NA,NA
"201206271324-134","Macroalgae",7,NA,NA,NA,NA,NA
"201206271324-134","Macroalgae",8,NA,NA,NA,NA,NA
"201206271324-134","Macroalgae",9,NA,NA,NA,NA,NA
"201206271337-133","Thalassia",1,50,38,NA,NA,NA
"201206271337-133","Thalassia",2,70,38,NA,NA,NA
"201206271337-133","Thalassia",3,70,63,NA,NA,NA
"201206271337-133","Thalassia",4,60,38,NA,NA,NA
"201206271337-133","Thalassia",5,60,38,NA,NA,NA
"201206271337-133","Thalassia",6,70,63,NA,NA,NA
"201206271337-133","Thalassia",7,70,15,NA,NA,NA
"201206271337-133","Thalassia",8,60,63,NA,NA,NA
"201206271337-133","Thalassia",9,60,63,NA,NA,NA
"201206271337-133","Syringodium",1,50,38,NA,NA,NA
"201206271337-133","Syringodium",2,70,38,NA,NA,NA
"201206271337-133","Syringodium",3,70,15,NA,NA,NA
"201206271337-133","Syringodium",4,65,38,NA,NA,NA
"201206271337-133","Syringodium",5,60,38,NA,NA,NA
"201206271337-133","Syringodium",6,70,15,NA,NA,NA
"201206271337-133","Syringodium",7,70,63,NA,NA,NA
"201206271337-133","Syringodium",8,60,15,NA,NA,NA
"201206271337-133","Syringodium",9,60,15,NA,NA,NA
"201206271337-133","Halodule",1,NA,0,NA,NA,NA
"201206271337-133","Halodule",2,NA,0,NA,NA,NA
"201206271337-133","Halodule",3,NA,0,NA,NA,NA
"201206271337-133","Halodule",4,NA,0,NA,NA,NA
"201206271337-133","Halodule",5,NA,0,NA,NA,NA
"201206271337-133","Halodule",6,NA,0,NA,NA,NA
"201206271337-133","Halodule",7,NA,0,NA,NA,NA
"201206271337-133","Halodule",8,NA,0,NA,NA,NA
"201206271337-133","Halodule",9,NA,0,NA,NA,NA
"201206271337-133","Macroalgae",1,NA,NA,NA,NA,NA
"201206271337-133","Macroalgae",2,NA,NA,NA,NA,NA
"201206271337-133","Macroalgae",3,NA,NA,NA,NA,NA
"201206271337-133","Macroalgae",4,NA,NA,NA,NA,NA
"201206271337-133","Macroalgae",5,NA,NA,NA,NA,NA
"201206271337-133","Macroalgae",6,NA,NA,NA,NA,NA
"201206271337-133","Macroalgae",7,NA,NA,NA,NA,NA
"201206271337-133","Macroalgae",8,NA,NA,NA,NA,NA
"201206271337-133","Macroalgae",9,NA,NA,NA,NA,NA
"201206271358-137","Thalassia",1,50,15,NA,NA,NA
"201206271358-137","Thalassia",2,50,15,NA,NA,NA
"201206271358-137","Thalassia",3,60,3,NA,NA,NA
"201206271358-137","Thalassia",4,NA,0,NA,NA,NA
"201206271358-137","Thalassia",5,NA,0,NA,NA,NA
"201206271358-137","Thalassia",6,NA,0,NA,NA,NA
"201206271358-137","Thalassia",7,NA,0,NA,NA,NA
"201206271358-137","Thalassia",8,40,63,NA,NA,NA
"201206271358-137","Thalassia",9,40,63,NA,NA,NA
"201206271358-137","Syringodium",1,50,63,NA,NA,NA
"201206271358-137","Syringodium",2,50,88,NA,NA,NA
"201206271358-137","Syringodium",3,60,88,NA,NA,NA
"201206271358-137","Syringodium",4,60,63,NA,NA,NA
"201206271358-137","Syringodium",5,60,88,NA,NA,NA
"201206271358-137","Syringodium",6,60,88,NA,NA,NA
"201206271358-137","Syringodium",7,60,15,NA,NA,NA
"201206271358-137","Syringodium",8,40,3,NA,NA,NA
"201206271358-137","Syringodium",9,40,15,NA,NA,NA
"201206271358-137","Halodule",1,NA,0,NA,NA,NA
"201206271358-137","Halodule",2,NA,0,NA,NA,NA
"201206271358-137","Halodule",3,NA,0,NA,NA,NA
"201206271358-137","Halodule",4,NA,0,NA,NA,NA
"201206271358-137","Halodule",5,NA,0,NA,NA,NA
"201206271358-137","Halodule",6,NA,0,NA,NA,NA
"201206271358-137","Halodule",7,NA,0,NA,NA,NA
"201206271358-137","Halodule",8,NA,0,NA,NA,NA
"201206271358-137","Halodule",9,NA,0,NA,NA,NA
"201206271358-137","Macroalgae",1,NA,NA,NA,NA,NA
"201206271358-137","Macroalgae",2,NA,NA,NA,NA,NA
"201206271358-137","Macroalgae",3,NA,NA,NA,NA,NA
"201206271358-137","Macroalgae",4,NA,NA,NA,NA,NA
"201206271358-137","Macroalgae",5,NA,NA,NA,NA,NA
"201206271358-137","Macroalgae",6,NA,NA,NA,NA,NA
"201206271358-137","Macroalgae",7,NA,NA,NA,NA,NA
"201206271358-137","Macroalgae",8,NA,NA,NA,NA,NA
"201206271358-137","Macroalgae",9,NA,NA,NA,NA,NA
"201207141131-256","Thalassia",1,50,15,NA,NA,NA
"201207141131-256","Thalassia",2,50,38,NA,NA,NA
"201207141131-256","Thalassia",3,50,15,NA,NA,NA
"201207141131-256","Thalassia",4,50,88,NA,NA,NA
"201207141131-256","Thalassia",5,50,63,NA,NA,NA
"201207141131-256","Thalassia",6,50,63,NA,NA,NA
"201207141131-256","Thalassia",7,45,88,NA,NA,NA
"201207141131-256","Thalassia",8,45,88,NA,NA,NA
"201207141131-256","Thalassia",9,45,63,NA,NA,NA
"201207141131-256","Syringodium",1,NA,0,NA,NA,NA
"201207141131-256","Syringodium",2,NA,0,NA,NA,NA
"201207141131-256","Syringodium",3,NA,0,NA,NA,NA
"201207141131-256","Syringodium",4,NA,0,NA,NA,NA
"201207141131-256","Syringodium",5,NA,0,NA,NA,NA
"201207141131-256","Syringodium",6,NA,0,NA,NA,NA
"201207141131-256","Syringodium",7,NA,0,NA,NA,NA
"201207141131-256","Syringodium",8,NA,0,NA,NA,NA
"201207141131-256","Syringodium",9,NA,0,NA,NA,NA
"201207141131-256","Halodule",1,50,63,NA,NA,NA
"201207141131-256","Halodule",2,50,38,NA,NA,NA
"201207141131-256","Halodule",3,50,63,NA,NA,NA
"201207141131-256","Halodule",4,NA,0,NA,NA,NA
"201207141131-256","Halodule",5,40,15,NA,NA,NA
"201207141131-256","Halodule",6,40,3,NA,NA,NA
"201207141131-256","Halodule",7,NA,0,NA,NA,NA
"201207141131-256","Halodule",8,NA,0,NA,NA,NA
"201207141131-256","Halodule",9,NA,0,NA,NA,NA
"201207141131-256","Macroalgae",1,NA,NA,NA,NA,NA
"201207141131-256","Macroalgae",2,NA,NA,NA,NA,NA
"201207141131-256","Macroalgae",3,NA,NA,NA,NA,NA
"201207141131-256","Macroalgae",4,NA,NA,NA,NA,NA
"201207141131-256","Macroalgae",5,NA,NA,NA,NA,NA
"201207141131-256","Macroalgae",6,NA,NA,NA,NA,NA
"201207141131-256","Macroalgae",7,NA,NA,NA,NA,NA
"201207141131-256","Macroalgae",8,NA,NA,NA,NA,NA
"201207141131-256","Macroalgae",9,NA,NA,NA,NA,NA
"201207141115-268","Thalassia",1,40,63,NA,NA,NA
"201207141115-268","Thalassia",2,40,38,NA,NA,NA
"201207141115-268","Thalassia",3,50,63,NA,NA,NA
"201207141115-268","Thalassia",4,30,3,NA,NA,NA
"201207141115-268","Thalassia",5,NA,0,NA,NA,NA
"201207141115-268","Thalassia",6,30,38,NA,NA,NA
"201207141115-268","Thalassia",7,50,88,NA,NA,NA
"201207141115-268","Thalassia",8,40,88,NA,NA,NA
"201207141115-268","Thalassia",9,40,88,NA,NA,NA
"201207141115-268","Syringodium",1,NA,0,NA,NA,NA
"201207141115-268","Syringodium",2,NA,0,NA,NA,NA
"201207141115-268","Syringodium",3,NA,0,NA,NA,NA
"201207141115-268","Syringodium",4,NA,0,NA,NA,NA
"201207141115-268","Syringodium",5,NA,0,NA,NA,NA
"201207141115-268","Syringodium",6,NA,0,NA,NA,NA
"201207141115-268","Syringodium",7,NA,0,NA,NA,NA
"201207141115-268","Syringodium",8,NA,0,NA,NA,NA
"201207141115-268","Syringodium",9,NA,0,NA,NA,NA
"201207141115-268","Halodule",1,25,38,NA,NA,NA
"201207141115-268","Halodule",2,25,38,NA,NA,NA
"201207141115-268","Halodule",3,25,15,NA,NA,NA
"201207141115-268","Halodule",4,20,38,NA,NA,NA
"201207141115-268","Halodule",5,20,15,NA,NA,NA
"201207141115-268","Halodule",6,20,3,NA,NA,NA
"201207141115-268","Halodule",7,NA,0,NA,NA,NA
"201207141115-268","Halodule",8,NA,0,NA,NA,NA
"201207141115-268","Halodule",9,NA,0,NA,NA,NA
"201207141115-268","Macroalgae",1,NA,NA,NA,NA,NA
"201207141115-268","Macroalgae",2,NA,NA,NA,NA,NA
"201207141115-268","Macroalgae",3,NA,NA,NA,NA,NA
"201207141115-268","Macroalgae",4,NA,NA,NA,NA,NA
"201207141115-268","Macroalgae",5,NA,NA,NA,NA,NA
"201207141115-268","Macroalgae",6,NA,NA,NA,NA,NA
"201207141115-268","Macroalgae",7,NA,NA,NA,NA,NA
"201207141115-268","Macroalgae",8,NA,NA,NA,NA,NA
"201207141115-268","Macroalgae",9,NA,NA,NA,NA,NA
"201207141317-291","Thalassia",1,50,88,NA,NA,NA
"201207141317-291","Thalassia",2,50,88,NA,NA,NA
"201207141317-291","Thalassia",3,50,88,NA,NA,NA
"201207141317-291","Thalassia",4,40,63,NA,NA,NA
"201207141317-291","Thalassia",5,40,63,NA,NA,NA
"201207141317-291","Thalassia",6,40,63,NA,NA,NA
"201207141317-291","Thalassia",7,40,15,NA,NA,NA
"201207141317-291","Thalassia",8,40,3,NA,NA,NA
"201207141317-291","Thalassia",9,40,63,NA,NA,NA
"201207141317-291","Syringodium",1,NA,0,NA,NA,NA
"201207141317-291","Syringodium",2,60,3,NA,NA,NA
"201207141317-291","Syringodium",3,60,3,NA,NA,NA
"201207141317-291","Syringodium",4,NA,0,NA,NA,NA
"201207141317-291","Syringodium",5,NA,0,NA,NA,NA
"201207141317-291","Syringodium",6,NA,0,NA,NA,NA
"201207141317-291","Syringodium",7,NA,0,NA,NA,NA
"201207141317-291","Syringodium",8,NA,0,NA,NA,NA
"201207141317-291","Syringodium",9,NA,0,NA,NA,NA
"201207141317-291","Halodule",1,NA,0,NA,NA,NA
"201207141317-291","Halodule",2,NA,0,NA,NA,NA
"201207141317-291","Halodule",3,NA,0,NA,NA,NA
"201207141317-291","Halodule",4,NA,0,NA,NA,NA
"201207141317-291","Halodule",5,NA,0,NA,NA,NA
"201207141317-291","Halodule",6,NA,0,NA,NA,NA
"201207141317-291","Halodule",7,15,38,NA,NA,NA
"201207141317-291","Halodule",8,15,38,NA,NA,NA
"201207141317-291","Halodule",9,NA,0,NA,NA,NA
"201207141317-291","Macroalgae",1,NA,NA,NA,NA,NA
"201207141317-291","Macroalgae",2,NA,NA,NA,NA,NA
"201207141317-291","Macroalgae",3,NA,NA,NA,NA,NA
"201207141317-291","Macroalgae",4,NA,NA,NA,NA,NA
"201207141317-291","Macroalgae",5,NA,NA,NA,NA,NA
"201207141317-291","Macroalgae",6,NA,NA,NA,NA,NA
"201207141317-291","Macroalgae",7,NA,NA,NA,NA,NA
"201207141317-291","Macroalgae",8,NA,NA,NA,NA,NA
"201207141317-291","Macroalgae",9,NA,NA,NA,NA,NA
"201207141142-257","Thalassia",1,15,15,NA,NA,NA
"201207141142-257","Thalassia",2,20,15,NA,NA,NA
"201207141142-257","Thalassia",3,20,15,NA,NA,NA
"201207141142-257","Thalassia",4,40,63,NA,NA,NA
"201207141142-257","Thalassia",5,40,63,NA,NA,NA
"201207141142-257","Thalassia",6,40,88,NA,NA,NA
"201207141142-257","Thalassia",7,30,15,NA,NA,NA
"201207141142-257","Thalassia",8,35,63,NA,NA,NA
"201207141142-257","Thalassia",9,35,38,NA,NA,NA
"201207141142-257","Syringodium",1,NA,0,NA,NA,NA
"201207141142-257","Syringodium",2,NA,0,NA,NA,NA
"201207141142-257","Syringodium",3,NA,0,NA,NA,NA
"201207141142-257","Syringodium",4,NA,0,NA,NA,NA
"201207141142-257","Syringodium",5,NA,0,NA,NA,NA
"201207141142-257","Syringodium",6,NA,0,NA,NA,NA
"201207141142-257","Syringodium",7,NA,0,NA,NA,NA
"201207141142-257","Syringodium",8,NA,0,NA,NA,NA
"201207141142-257","Syringodium",9,NA,0,NA,NA,NA
"201207141142-257","Halodule",1,NA,0,NA,NA,NA
"201207141142-257","Halodule",2,NA,0,NA,NA,NA
"201207141142-257","Halodule",3,NA,0,NA,NA,NA
"201207141142-257","Halodule",4,NA,0,NA,NA,NA
"201207141142-257","Halodule",5,NA,0,NA,NA,NA
"201207141142-257","Halodule",6,NA,0,NA,NA,NA
"201207141142-257","Halodule",7,NA,0,NA,NA,NA
"201207141142-257","Halodule",8,NA,0,NA,NA,NA
"201207141142-257","Halodule",9,NA,0,NA,NA,NA
"201207141142-257","Macroalgae",1,NA,NA,NA,NA,NA
"201207141142-257","Macroalgae",2,NA,NA,NA,NA,NA
"201207141142-257","Macroalgae",3,NA,NA,NA,NA,NA
"201207141142-257","Macroalgae",4,NA,NA,NA,NA,NA
"201207141142-257","Macroalgae",5,NA,NA,NA,NA,NA
"201207141142-257","Macroalgae",6,NA,NA,NA,NA,NA
"201207141142-257","Macroalgae",7,NA,NA,NA,NA,NA
"201207141142-257","Macroalgae",8,NA,NA,NA,NA,NA
"201207141142-257","Macroalgae",9,NA,NA,NA,NA,NA
"201207141427-304","Thalassia",1,35,38,NA,NA,NA
"201207141427-304","Thalassia",2,30,15,NA,NA,NA
"201207141427-304","Thalassia",3,30,15,NA,NA,NA
"201207141427-304","Thalassia",4,30,3,NA,NA,NA
"201207141427-304","Thalassia",5,30,15,NA,NA,NA
"201207141427-304","Thalassia",6,30,15,NA,NA,NA
"201207141427-304","Thalassia",7,30,15,NA,NA,NA
"201207141427-304","Thalassia",8,30,15,NA,NA,NA
"201207141427-304","Thalassia",9,30,3,NA,NA,NA
"201207141427-304","Syringodium",1,NA,0,NA,NA,NA
"201207141427-304","Syringodium",2,NA,0,NA,NA,NA
"201207141427-304","Syringodium",3,NA,0,NA,NA,NA
"201207141427-304","Syringodium",4,NA,0,NA,NA,NA
"201207141427-304","Syringodium",5,NA,0,NA,NA,NA
"201207141427-304","Syringodium",6,NA,0,NA,NA,NA
"201207141427-304","Syringodium",7,NA,0,NA,NA,NA
"201207141427-304","Syringodium",8,NA,0,NA,NA,NA
"201207141427-304","Syringodium",9,NA,0,NA,NA,NA
"201207141427-304","Halodule",1,NA,0,NA,NA,NA
"201207141427-304","Halodule",2,NA,0,NA,NA,NA
"201207141427-304","Halodule",3,NA,0,NA,NA,NA
"201207141427-304","Halodule",4,NA,0,NA,NA,NA
"201207141427-304","Halodule",5,NA,0,NA,NA,NA
"201207141427-304","Halodule",6,NA,0,NA,NA,NA
"201207141427-304","Halodule",7,NA,0,NA,NA,NA
"201207141427-304","Halodule",8,NA,0,NA,NA,NA
"201207141427-304","Halodule",9,NA,0,NA,NA,NA
"201207141427-304","Macroalgae",1,NA,NA,NA,NA,NA
"201207141427-304","Macroalgae",2,NA,NA,NA,NA,NA
"201207141427-304","Macroalgae",3,NA,NA,NA,NA,NA
"201207141427-304","Macroalgae",4,NA,NA,NA,NA,NA
"201207141427-304","Macroalgae",5,NA,NA,NA,NA,NA
"201207141427-304","Macroalgae",6,NA,NA,NA,NA,NA
"201207141427-304","Macroalgae",7,NA,NA,NA,NA,NA
"201207141427-304","Macroalgae",8,NA,NA,NA,NA,NA
"201207141427-304","Macroalgae",9,NA,NA,NA,NA,NA
"201207141040-270","Thalassia",1,20,38,NA,NA,NA
"201207141040-270","Thalassia",2,20,38,NA,NA,NA
"201207141040-270","Thalassia",3,20,38,NA,NA,NA
"201207141040-270","Thalassia",4,25,38,NA,NA,NA
"201207141040-270","Thalassia",5,20,38,NA,NA,NA
"201207141040-270","Thalassia",6,25,15,NA,NA,NA
"201207141040-270","Thalassia",7,25,15,NA,NA,NA
"201207141040-270","Thalassia",8,30,15,NA,NA,NA
"201207141040-270","Thalassia",9,30,15,NA,NA,NA
"201207141040-270","Syringodium",1,NA,0,NA,NA,NA
"201207141040-270","Syringodium",2,NA,0,NA,NA,NA
"201207141040-270","Syringodium",3,NA,0,NA,NA,NA
