"keyfield","com_nm","sci_nm","length","tot_count"
"200711131035-268","Lined Seahorse","Hippocampus erectus",125,1
"200711131035-268","Great Barracuda","Sphyraena barracuda",178,1
"200711131116-269","Sheepshead","Archosargus probatocephalus",100,1
"200711131116-269","Atlantic Spadefish","Chaetodipterus faber",90,1
"200711131159-283","Great Barracuda","Sphyraena barracuda",98,1
"200711131234-284","Great Barracuda","Sphyraena barracuda",106,1
"200711131309-271","Bluestriped Grunt","Haemulon sciurus",73,2
"200711131309-271","Bluestriped Grunt","Haemulon sciurus",93,2
"200711131309-271","Gray Snapper","Lutjanus griseus",71,1
"200711131309-271","Caribbean Spiny Lobster","Panulirus argus",142,1
"200711131309-271","Great Barracuda","Sphyraena barracuda",125,1
"200806091141-054","Lined Seahorse","Hippocampus erectus",100,1
"200806091245-101","Spotted Seatrout","Cynoscion nebulosus",50,1
"200806091433-023","Spotted Seatrout","Cynoscion nebulosus",30,4
"200806091433-023","Spotted Seatrout","Cynoscion nebulosus",30,4
"200806091433-023","Spotted Seatrout","Cynoscion nebulosus",35,4
"200806091433-023","Spotted Seatrout","Cynoscion nebulosus",50,4
"200806091433-023","Hogfish","Lachnolaimus maximus",25,3
"200806091433-023","Hogfish","Lachnolaimus maximus",31,3
"200806091433-023","Hogfish","Lachnolaimus maximus",34,3
"200806091547-024","Atlantic Bay Scallop","Argopecten irradians",40,1
"200806091547-024","Lined Seahorse","Hippocampus erectus",75,1
"200806100855-071","Spotted Seatrout","Cynoscion nebulosus",41,1
"200806101050-157","Atlantic Bay Scallop","Argopecten irradians",28,1
"200806101410-146","Atlantic Bay Scallop","Argopecten irradians",24,2
"200806101410-146","Atlantic Bay Scallop","Argopecten irradians",26,2
"200806101410-146","Spotted Seatrout","Cynoscion nebulosus",45,1
"200806101554-124","Atlantic Bay Scallop","Argopecten irradians",20,2
"200806101554-124","Atlantic Bay Scallop","Argopecten irradians",35,2
"200806101554-124","Lined Seahorse","Hippocampus erectus",102,1
"200806101554-124","Caribbean Spiny Lobster","Panulirus argus",200,1
"200806110933-172","Atlantic Bay Scallop","Argopecten irradians",32,3
"200806110933-172","Atlantic Bay Scallop","Argopecten irradians",34,3
"200806110933-172","Atlantic Bay Scallop","Argopecten irradians",35,3
"200806110933-172","Sheepshead","Archosargus probatocephalus",40,1
"200806111035-176","Atlantic Bay Scallop","Argopecten irradians",35,4
"200806111035-176","Atlantic Bay Scallop","Argopecten irradians",36,4
"200806111035-176","Atlantic Bay Scallop","Argopecten irradians",40,4
"200806111035-176","Atlantic Bay Scallop","Argopecten irradians",41,4
"200806111035-176","Spotted Seatrout","Cynoscion nebulosus",58,1
"200806111035-176","Lined Seahorse","Hippocampus erectus",115,1
"200806111352-123","Spotted Seatrout","Cynoscion nebulosus",62,1
"200806120900-111","Atlantic Bay Scallop","Argopecten irradians",30,2
"200806120900-111","Atlantic Bay Scallop","Argopecten irradians",38,2
"200806120947-040","Atlantic Bay Scallop","Argopecten irradians",20,1
"200806121200-118","Atlantic Bay Scallop","Argopecten irradians",39,1
"200806121200-118","Spotted Seatrout","Cynoscion nebulosus",60,1
"200806121440-251","Sheepshead","Archosargus probatocephalus",55,1
"200806130904-243","Great Barracuda","Sphyraena barracuda",64,2
"200806130904-243","Great Barracuda","Sphyraena barracuda",78,2
"200806131448-254","Lined Seahorse","Hippocampus erectus",135,1
"200806141220-281","Lined Seahorse","Hippocampus erectus",70,3
"200806141220-281","Lined Seahorse","Hippocampus erectus",85,3
"200806141220-281","Lined Seahorse","Hippocampus erectus",133,3
"200806150807-271","Great Barracuda","Sphyraena barracuda",57,1
"200806160905-323","Caribbean Spiny Lobster","Panulirus argus",47,1
"200807080855-070","Spotted Seatrout","Cynoscion nebulosus",40,3
"200807080855-070","Spotted Seatrout","Cynoscion nebulosus",48,3
"200807080855-070","Spotted Seatrout","Cynoscion nebulosus",56,3
"200807080945-073","Spotted Seatrout","Cynoscion nebulosus",99,1
"200807081118-067","Spotted Seatrout","Cynoscion nebulosus",35,1
"200807081241-130","Caribbean Spiny Lobster","Panulirus argus",240,1
"200807091000-173","Caribbean Spiny Lobster","Panulirus argus",75,1
"200807091040-172","Spotted Seatrout","Cynoscion nebulosus",33,2
"200807091040-172","Spotted Seatrout","Cynoscion nebulosus",55,2
"200807091130-168","Atlantic Bay Scallop","Argopecten irradians",47,1
"200807091130-168","Spotted Seatrout","Cynoscion nebulosus",70,1
"200807091453-156","Gag Grouper","Mycteroperca microlepis",165,1
"200807100850-023","Spotted Seatrout","Cynoscion nebulosus",47,5
"200807100850-023","Spotted Seatrout","Cynoscion nebulosus",48,5
"200807100850-023","Spotted Seatrout","Cynoscion nebulosus",71,5
"200807100850-023","Spotted Seatrout","Cynoscion nebulosus",85,5
"200807100850-023","Spotted Seatrout","Cynoscion nebulosus",90,5
"200807100850-023","Hogfish","Lachnolaimus maximus",52,1
"200807101000-022","Hogfish","Lachnolaimus maximus",88,1
"200807101000-022","Great Barracuda","Sphyraena barracuda",115,1
"200807101100-021","Atlantic Bay Scallop","Argopecten irradians",55,1
"200807101100-021","Hogfish","Lachnolaimus maximus",52,2
"200807101100-021","Hogfish","Lachnolaimus maximus",75,2
"200807101100-021","Yellowtail Snapper","Ocyurus chrysurus",83,1
"200807101155-020","Mutton Snapper","Lutjanus analis",112,1
"200807101230-101","Spotted Seatrout","Cynoscion nebulosus",46,1
"200807101230-101","Goliath Grouper","Epinephelus itajara",480,1
"200807101230-101","Hogfish","Lachnolaimus maximus",48,3
"200807101230-101","Hogfish","Lachnolaimus maximus",55,3
"200807101230-101","Hogfish","Lachnolaimus maximus",160,3
"200807101230-101","Yellowtail Snapper","Ocyurus chrysurus",45,1
"200807120830-137","Great Barracuda","Sphyraena barracuda",60,2
"200807120830-137","Great Barracuda","Sphyraena barracuda",61,2
"200807120910-124","Great Barracuda","Sphyraena barracuda",70,2
"200807120910-124","Great Barracuda","Sphyraena barracuda",87,2
"200807121030-123","Great Barracuda","Sphyraena barracuda",57,1
"200807121105-136","Spotted Seatrout","Cynoscion nebulosus",77,1
"200807121332-609","Lined Seahorse","Hippocampus erectus",120,1
"200807130830-268","Lined Seahorse","Hippocampus erectus",125,1
"200807130855-291","Lined Seahorse","Hippocampus erectus",100,3
"200807130855-291","Lined Seahorse","Hippocampus erectus",105,3
"200807130855-291","Lined Seahorse","Hippocampus erectus",130,3
"200807130855-291","Caribbean Spiny Lobster","Panulirus argus",190,1
"200807131050-323","Southern Flounder","Paralichthys lethostigma",84,1
"200808090835-119","Mutton Snapper","Lutjanus analis",114,1
"200808090835-119","Great Barracuda","Sphyraena barracuda",110,2
"200808090835-119","Great Barracuda","Sphyraena barracuda",110,2
"200808090920-108","Spotted Seatrout","Cynoscion nebulosus",115,1
"200808090920-108","Mutton Snapper","Lutjanus analis",20,2
"200808090920-108","Mutton Snapper","Lutjanus analis",30,2
"200808090950-106","Hogfish","Lachnolaimus maximus",80,1
"200808090950-106","Mutton Snapper","Lutjanus analis",96,1
"200808091110-021","Spotted Seatrout","Cynoscion nebulosus",45,1
"200808091110-021","Hogfish","Lachnolaimus maximus",80,5
"200808091110-021","Hogfish","Lachnolaimus maximus",80,5
"200808091110-021","Hogfish","Lachnolaimus maximus",80,5
"200808091110-021","Hogfish","Lachnolaimus maximus",90,5
"200808091110-021","Hogfish","Lachnolaimus maximus",100,5
"200808091110-021","Yellowtail Snapper","Ocyurus chrysurus",75,1
"200808091200-022","Barred Hamlet","Hypoplectrus puella",55,1
"200808091200-022","Hogfish","Lachnolaimus maximus",66,1
"200808091252-024","Atlantic Bay Scallop","Argopecten irradians",52,1
"200808091252-024","Spotted Seatrout","Cynoscion nebulosus",43,1
"200808091252-024","Barred Hamlet","Hypoplectrus puella",45,2
"200808091252-024","Barred Hamlet","Hypoplectrus puella",45,2
"200808100820-137","Spotted Seatrout","Cynoscion nebulosus",109,1
"200808100945-122","Great Barracuda","Sphyraena barracuda",54,2
"200808100945-122","Great Barracuda","Sphyraena barracuda",90,2
"200808101240-147","Great Barracuda","Sphyraena barracuda",40,1
"200808101400-070","Spotted Seatrout","Cynoscion nebulosus",90,2
"200808101400-070","Spotted Seatrout","Cynoscion nebulosus",128,2
"200808111440-280","Lined Seahorse","Hippocampus erectus",120,2
"200808111440-280","Lined Seahorse","Hippocampus erectus",145,2
"200808121355-270","Lined Seahorse","Hippocampus erectus",115,1
"200808121355-270","Caribbean Spiny Lobster","Panulirus argus",115,2
"200808121355-270","Caribbean Spiny Lobster","Panulirus argus",220,2
"200808121630-269","Lined Seahorse","Hippocampus erectus",100,1
"200808121700-268","Lined Seahorse","Hippocampus erectus",110,1
"200808121728-282","Caribbean Spiny Lobster","Panulirus argus",145,1
"200808121800-283","Great Barracuda","Sphyraena barracuda",135,1
"200809130842-024","Spotted Seatrout","Cynoscion nebulosus",40,1
"200809130842-024","Barred Hamlet","Hypoplectrus puella",52,6
"200809130842-024","Barred Hamlet","Hypoplectrus puella",67,6
"200809130842-024","Barred Hamlet","Hypoplectrus puella",68,6
"200809130842-024","Barred Hamlet","Hypoplectrus puella",69,6
"200809130842-024","Barred Hamlet","Hypoplectrus puella",70,6
"200809130842-024","Barred Hamlet","Hypoplectrus puella",74,6
"200809130842-024","Great Barracuda","Sphyraena barracuda",62,1
"200809130930-023","Atlantic Bay Scallop","Argopecten irradians",56,1
"200809130930-023","Barred Hamlet","Hypoplectrus puella",110,3
"200809130930-023","Barred Hamlet","Hypoplectrus puella",114,3
"200809130930-023","Barred Hamlet","Hypoplectrus puella",115,3
"200809130930-023","Hogfish","Lachnolaimus maximus",65,8
"200809130930-023","Hogfish","Lachnolaimus maximus",73,8
"200809130930-023","Hogfish","Lachnolaimus maximus",77,8
"200809130930-023","Hogfish","Lachnolaimus maximus",80,8
"200809130930-023","Hogfish","Lachnolaimus maximus",82,8
"200809130930-023","Hogfish","Lachnolaimus maximus",88,8
"200809130930-023","Hogfish","Lachnolaimus maximus",95,8
"200809130930-023","Hogfish","Lachnolaimus maximus",101,8
"200809130930-023","Yellowtail Snapper","Ocyurus chrysurus",80,4
"200809130930-023","Yellowtail Snapper","Ocyurus chrysurus",95,4
"200809130930-023","Yellowtail Snapper","Ocyurus chrysurus",101,4
"200809130930-023","Yellowtail Snapper","Ocyurus chrysurus",110,4
"200809131010-021","Spotted Seatrout","Cynoscion nebulosus",38,1
"200809131010-021","Hogfish","Lachnolaimus maximus",95,3
"200809131010-021","Hogfish","Lachnolaimus maximus",105,3
"200809131010-021","Hogfish","Lachnolaimus maximus",115,3
"200809131055-106","Barred Hamlet","Hypoplectrus puella",115,1
"200809131055-106","Gag Grouper","Mycteroperca microlepis",220,1
"200809131055-106","Yellowtail Snapper","Ocyurus chrysurus",62,1
"200809131150-108","Lane Snapper","Lutjanus synagris",13,1
"200809131220-119","Great Barracuda","Sphyraena barracuda",85,1
"200809131255-118","Barred Hamlet","Hypoplectrus puella",49,1
"200809131255-118","Great Barracuda","Sphyraena barracuda",110,1
"200809131340-067","Spotted Seatrout","Cynoscion nebulosus",47,1
"200809131340-067","Great Barracuda","Sphyraena barracuda",50,1
"200809131415-070","Atlantic Spadefish","Chaetodipterus faber",56,2
"200809131415-070","Atlantic Spadefish","Chaetodipterus faber",166,2
"200809131415-070","Spotted Seatrout","Cynoscion nebulosus",33,2
"200809131415-070","Spotted Seatrout","Cynoscion nebulosus",34,2
"200809131415-070","Great Barracuda","Sphyraena barracuda",48,1
"200809131530-073","Barred Hamlet","Hypoplectrus puella",60,1
"200809131530-073","Hogfish","Lachnolaimus maximus",88,1
"200809131530-073","Great Barracuda","Sphyraena barracuda",84,1
"200809140855-136","Spotted Seatrout","Cynoscion nebulosus",42,1
"200809140855-136","Great Barracuda","Sphyraena barracuda",65,1
"200809141205-147","Spotted Seatrout","Cynoscion nebulosus",45,1
"200809141205-147","Great Barracuda","Sphyraena barracuda",60,4
"200809141205-147","Great Barracuda","Sphyraena barracuda",62,4
"200809141205-147","Great Barracuda","Sphyraena barracuda",81,4
"200809141205-147","Great Barracuda","Sphyraena barracuda",125,4
"200809141300-145","Atlantic Bay Scallop","Argopecten irradians",45,1
"200809141415-156","Spotted Seatrout","Cynoscion nebulosus",145,1
"200809141450-168","Atlantic Bay Scallop","Argopecten irradians",46,1
"200809141525-176","Great Barracuda","Sphyraena barracuda",55,1
"200809150845-172","Hogfish","Lachnolaimus maximus",95,3
"200809150845-172","Hogfish","Lachnolaimus maximus",104,3
"200809150845-172","Hogfish","Lachnolaimus maximus",135,3
"200809150845-172","Caribbean Spiny Lobster","Panulirus argus",130,1
"200809150930-174","Barred Hamlet","Hypoplectrus puella",48,1
"200809150930-174","Hogfish","Lachnolaimus maximus",73,1
"200809151035-279","Great Barracuda","Sphyraena barracuda",109,1
"200809151100-280","Caribbean Spiny Lobster","Panulirus argus",149,1
"200809151145-281","Lined Seahorse","Hippocampus erectus",120,1
"200809151145-281","Caribbean Spiny Lobster","Panulirus argus",135,1
"200809151145-281","Great Barracuda","Sphyraena barracuda",90,1
"200809151210-291","Great Barracuda","Sphyraena barracuda",195,1
"200809151240-290","Great Barracuda","Sphyraena barracuda",65,1
"200809151430-256","Lined Seahorse","Hippocampus erectus",105,2
"200809151430-256","Lined Seahorse","Hippocampus erectus",110,2
"200809160810-224","Caribbean Spiny Lobster","Panulirus argus",120,1
"200809160945-240","Great Barracuda","Sphyraena barracuda",98,1
"200809161110-227","Great Barracuda","Sphyraena barracuda",104,2
"200809161110-227","Great Barracuda","Sphyraena barracuda",125,2
"200809161135-242","Great Barracuda","Sphyraena barracuda",95,1
"200809161220-243","Great Barracuda","Sphyraena barracuda",100,2
"200809161220-243","Great Barracuda","Sphyraena barracuda",130,2
"200809161250-229","Lined Seahorse","Hippocampus erectus",92,1
"200809161320-244","Great Barracuda","Sphyraena barracuda",105,1
"200809161420-270","Lined Seahorse","Hippocampus erectus",90,4
"200809161420-270","Lined Seahorse","Hippocampus erectus",95,4
"200809161420-270","Lined Seahorse","Hippocampus erectus",115,4
"200809161420-270","Lined Seahorse","Hippocampus erectus",125,4
"200809161420-270","Great Barracuda","Sphyraena barracuda",43,2
"200809161420-270","Great Barracuda","Sphyraena barracuda",54,2
"200809161455-294","Great Barracuda","Sphyraena barracuda",105,1
"200809170815-315","Great Barracuda","Sphyraena barracuda",50,1
"200809170900-324","Great Barracuda","Sphyraena barracuda",75,1
"200809170934-323","Great Barracuda","Sphyraena barracuda",84,1
"200809171005-616","Great Barracuda","Sphyraena barracuda",247,1
"200809171040-621","Southern Flounder","Paralichthys lethostigma",120,1
"200809171040-621","Great Barracuda","Sphyraena barracuda",66,4
"200809171040-621","Great Barracuda","Sphyraena barracuda",68,4
"200809171040-621","Great Barracuda","Sphyraena barracuda",70,4
"200809171040-621","Great Barracuda","Sphyraena barracuda",100,4
"200809171135-403","Great Barracuda","Sphyraena barracuda",103,1
"200809171155-326","Great Barracuda","Sphyraena barracuda",53,2
"200809171155-326","Great Barracuda","Sphyraena barracuda",55,2
"200810110900-024","Hogfish","Lachnolaimus maximus",76,3
"200810110900-024","Hogfish","Lachnolaimus maximus",84,3
"200810110900-024","Hogfish","Lachnolaimus maximus",140,3
"200810110900-024","Caribbean Spiny Lobster","Panulirus argus",93,1
"200810110940-022","Hogfish","Lachnolaimus maximus",77,5
"200810110940-022","Hogfish","Lachnolaimus maximus",94,5
"200810110940-022","Hogfish","Lachnolaimus maximus",94,5
"200810110940-022","Hogfish","Lachnolaimus maximus",94,5
"200810110940-022","Hogfish","Lachnolaimus maximus",156,5
"200810110940-022","Yellowtail Snapper","Ocyurus chrysurus",73,5
"200810110940-022","Yellowtail Snapper","Ocyurus chrysurus",77,5
"200810110940-022","Yellowtail Snapper","Ocyurus chrysurus",78,5
"200810110940-022","Yellowtail Snapper","Ocyurus chrysurus",101,5
"200810110940-022","Yellowtail Snapper","Ocyurus chrysurus",103,5
"200810111045-106","Barred Hamlet","Hypoplectrus puella",82,1
"200810111045-106","Yellowtail Snapper","Ocyurus chrysurus",61,2
"200810111045-106","Yellowtail Snapper","Ocyurus chrysurus",100,2
"200810111045-106","Great Barracuda","Sphyraena barracuda",268,1
"200810111120-107","Yellowtail Snapper","Ocyurus chrysurus",92,1
"200810111245-118","Atlantic Bay Scallop","Argopecten irradians",52,1
"200810111245-118","Barred Hamlet","Hypoplectrus puella",69,3
"200810111245-118","Barred Hamlet","Hypoplectrus puella",80,3
"200810111245-118","Barred Hamlet","Hypoplectrus puella",89,3
"200810111315-117","Barred Hamlet","Hypoplectrus puella",63,4
"200810111315-117","Barred Hamlet","Hypoplectrus puella",65,4
"200810111315-117","Barred Hamlet","Hypoplectrus puella",73,4
"200810111315-117","Barred Hamlet","Hypoplectrus puella",76,4
"200810111315-117","Hogfish","Lachnolaimus maximus",68,3
"200810111315-117","Hogfish","Lachnolaimus maximus",70,3
"200810111315-117","Hogfish","Lachnolaimus maximus",75,3
"200810111315-117","Yellowtail Snapper","Ocyurus chrysurus",76,4
"200810111315-117","Yellowtail Snapper","Ocyurus chrysurus",76,4
"200810111315-117","Yellowtail Snapper","Ocyurus chrysurus",79,4
"200810111315-117","Yellowtail Snapper","Ocyurus chrysurus",99,4
"200810111440-070","Spotted Seatrout","Cynoscion nebulosus",52,3
"200810111440-070","Spotted Seatrout","Cynoscion nebulosus",56,3
"200810111440-070","Spotted Seatrout","Cynoscion nebulosus",99,3
"200810111440-070","Southern Flounder","Paralichthys lethostigma",255,1
"200810111440-070","Great Barracuda","Sphyraena barracuda",91,1
"200810111520-073","Great Barracuda","Sphyraena barracuda",88,2
"200810111520-073","Great Barracuda","Sphyraena barracuda",173,2
"200810120825-171","Barred Hamlet","Hypoplectrus puella",77,1
"200810120825-171","Hogfish","Lachnolaimus maximus",95,2
"200810120825-171","Hogfish","Lachnolaimus maximus",130,2
"200810120925-159","Spotted Seatrout","Cynoscion nebulosus",64,2
"200810120925-159","Spotted Seatrout","Cynoscion nebulosus",84,2
"200810120925-159","Great Barracuda","Sphyraena barracuda",115,1
"200810121250-067","Spotted Seatrout","Cynoscion nebulosus",99,1
"200810121325-156","Great Barracuda","Sphyraena barracuda",85,1
"200810131050-267","Great Barracuda","Sphyraena barracuda",165,1
"200810131335-226","Great Barracuda","Sphyraena barracuda",140,1
"200810140935-294","Great Barracuda","Sphyraena barracuda",140,1
"200810141105-281","Atlantic Spadefish","Chaetodipterus faber",180,1
"200810141105-281","Spotted Seatrout","Cynoscion nebulosus",60,2
"200810141105-281","Spotted Seatrout","Cynoscion nebulosus",64,2
"200810141136-291","Lined Seahorse","Hippocampus erectus",162,1
"200810141330-302","Great Barracuda","Sphyraena barracuda",110,1
"200810141405-292","Great Barracuda","Sphyraena barracuda",122,1
"200810141515-314","Lined Seahorse","Hippocampus erectus",100,1
"200810141540-315","Great Barracuda","Sphyraena barracuda",112,1
"200810150915-401","Caribbean Spiny Lobster","Panulirus argus",280,1
"200810150940-619","Great Barracuda","Sphyraena barracuda",105,3
"200810150940-619","Great Barracuda","Sphyraena barracuda",105,3
"200810150940-619","Great Barracuda","Sphyraena barracuda",300,3
"200811080940-105","Barred Hamlet","Hypoplectrus puella",76,1
"200811080940-105","Hogfish","Lachnolaimus maximus",85,1
"200811081015-022","Hogfish","Lachnolaimus maximus",185,1
"200811081045-021","Barred Hamlet","Hypoplectrus puella",84,3
"200811081045-021","Barred Hamlet","Hypoplectrus puella",88,3
"200811081045-021","Barred Hamlet","Hypoplectrus puella",93,3
"200811081045-021","Hogfish","Lachnolaimus maximus",75,5
"200811081045-021","Hogfish","Lachnolaimus maximus",90,5
"200811081045-021","Hogfish","Lachnolaimus maximus",100,5
"200811081045-021","Hogfish","Lachnolaimus maximus",109,5
"200811081045-021","Hogfish","Lachnolaimus maximus",114,5
"200811081045-021","Yellowtail Snapper","Ocyurus chrysurus",100,2
"200811081045-021","Yellowtail Snapper","Ocyurus chrysurus",110,2
"200811081120-020","Barred Hamlet","Hypoplectrus puella",50,10
"200811081120-020","Barred Hamlet","Hypoplectrus puella",68,10
"200811081120-020","Barred Hamlet","Hypoplectrus puella",73,10
"200811081120-020","Barred Hamlet","Hypoplectrus puella",75,10
"200811081120-020","Barred Hamlet","Hypoplectrus puella",77,10
"200811081120-020","Barred Hamlet","Hypoplectrus puella",78,10
"200811081120-020","Barred Hamlet","Hypoplectrus puella",88,10
"200811081120-020","Barred Hamlet","Hypoplectrus puella",90,10
"200811081120-020","Barred Hamlet","Hypoplectrus puella",90,10
"200811081120-020","Barred Hamlet","Hypoplectrus puella",90,10
"200811081120-020","Hogfish","Lachnolaimus maximus",87,6
"200811081120-020","Hogfish","Lachnolaimus maximus",87,6
"200811081120-020","Hogfish","Lachnolaimus maximus",88,6
"200811081120-020","Hogfish","Lachnolaimus maximus",101,6
"200811081120-020","Hogfish","Lachnolaimus maximus",115,6
"200811081120-020","Hogfish","Lachnolaimus maximus",150,6
"200811081120-020","Caribbean Spiny Lobster","Panulirus argus",230,1
"200811081500-068","Barred Hamlet","Hypoplectrus puella",70,3
"200811081500-068","Barred Hamlet","Hypoplectrus puella",84,3
"200811081500-068","Barred Hamlet","Hypoplectrus puella",94,3
"200811081535-171","Barred Hamlet","Hypoplectrus puella",68,2
"200811081535-171","Barred Hamlet","Hypoplectrus puella",70,2
"200811091235-147","Great Barracuda","Sphyraena barracuda",100,1
"200811091340-158","Blue Croaker","Corvula batabana",135,1
"200811091405-168","Great Barracuda","Sphyraena barracuda",123,1
"200811120800-404","Great Barracuda","Sphyraena barracuda",62,1
"200811120825-407","Great Barracuda","Sphyraena barracuda",155,1
"200811120935-618","Great Barracuda","Sphyraena barracuda",190,1
"200811120955-616","Great Barracuda","Sphyraena barracuda",180,1
"200906061500-618","Lined Seahorse","Hippocampus erectus",7,1
"200906070900-040","Gray Snapper","Lutjanus griseus",180,1
"200906071010-021","Gray Snapper","Lutjanus griseus",150,5
"200906071010-021","Gray Snapper","Lutjanus griseus",160,5
"200906071010-021","Gray Snapper","Lutjanus griseus",180,5
"200906071010-021","Gray Snapper","Lutjanus griseus",200,5
"200906071010-021","Gray Snapper","Lutjanus griseus",200,5
"200906071045-108","Gray Snapper","Lutjanus griseus",100,5
"200906071045-108","Gray Snapper","Lutjanus griseus",110,5
"200906071045-108","Gray Snapper","Lutjanus griseus",110,5
"200906071045-108","Gray Snapper","Lutjanus griseus",110,5
"200906071045-108","Gray Snapper","Lutjanus griseus",210,5
"200906071110-119","Great Barracuda","Sphyraena barracuda",72,3
"200906071110-119","Great Barracuda","Sphyraena barracuda",80,3
"200906071110-119","Great Barracuda","Sphyraena barracuda",105,3
"200906071142-067","Gray Snapper","Lutjanus griseus",193,2
"200906071142-067","Gray Snapper","Lutjanus griseus",200,2
"200906071203-070","Sheepshead","Archosargus probatocephalus",24,1
"200906071355-159","Sheepshead","Archosargus probatocephalus",35,1
"200906071427-134","Gray Snapper","Lutjanus griseus",190,1
"200906071427-134","Caribbean Spiny Lobster","Panulirus argus",200,1
"200906071451-147","Spotted Seatrout","Cynoscion nebulosus",66,1
"200906081002-176","Spotted Seatrout","Cynoscion nebulosus",47,1
"200906081440-256","Lined Seahorse","Hippocampus erectus",125,1
"200906091307-229","Gray Snapper","Lutjanus griseus",95,2
"200906091307-229","Gray Snapper","Lutjanus griseus",102,2
"200906091433-257","Lined Seahorse","Hippocampus erectus",160,1
"200906101126-290","Lined Seahorse","Hippocampus erectus",150,1
"200906101208-292","Lined Seahorse","Hippocampus erectus",155,1
"200907110915-147","Great Barracuda","Sphyraena barracuda",85,1
"200907111213-021","Spotted Seatrout","Cynoscion nebulosus",48,1
"200907111213-021","Barred Hamlet","Hypoplectrus puella",120,1
"200907111213-021","Gray Snapper","Lutjanus griseus",200,1
"200907111316-101","Gray Snapper","Lutjanus griseus",128,6
"200907111316-101","Gray Snapper","Lutjanus griseus",130,6
"200907111316-101","Gray Snapper","Lutjanus griseus",130,6
"200907111316-101","Gray Snapper","Lutjanus griseus",135,6
"200907111316-101","Gray Snapper","Lutjanus griseus",135,6
"200907111316-101","Gray Snapper","Lutjanus griseus",200,6
"200907111350-107","Spotted Seatrout","Cynoscion nebulosus",31,4
"200907111350-107","Spotted Seatrout","Cynoscion nebulosus",32,4
"200907111350-107","Spotted Seatrout","Cynoscion nebulosus",37,4
"200907111350-107","Spotted Seatrout","Cynoscion nebulosus",59,4
"200907111350-107","Barred Hamlet","Hypoplectrus puella",46,1
"200907111350-107","Gray Snapper","Lutjanus griseus",188,2
"200907111350-107","Gray Snapper","Lutjanus griseus",210,2
"200907111428-119","Spotted Seatrout","Cynoscion nebulosus",41,1
"200907111428-119","Gray Snapper","Lutjanus griseus",115,6
"200907111428-119","Gray Snapper","Lutjanus griseus",200,6
"200907111428-119","Gray Snapper","Lutjanus griseus",200,6
"200907111428-119","Gray Snapper","Lutjanus griseus",210,6
"200907111428-119","Gray Snapper","Lutjanus griseus",210,6
"200907111428-119","Gray Snapper","Lutjanus griseus",230,6
"200907111459-117","Gray Snapper","Lutjanus griseus",140,4
"200907111459-117","Gray Snapper","Lutjanus griseus",200,4
"200907111459-117","Gray Snapper","Lutjanus griseus",200,4
"200907111459-117","Gray Snapper","Lutjanus griseus",215,4
"200907111525-130","Gray Snapper","Lutjanus griseus",220,2
"200907111525-130","Gray Snapper","Lutjanus griseus",230,2
"200907111550-067","Spotted Seatrout","Cynoscion nebulosus",32,6
"200907111550-067","Spotted Seatrout","Cynoscion nebulosus",36,6
"200907111550-067","Spotted Seatrout","Cynoscion nebulosus",44,6
"200907111550-067","Spotted Seatrout","Cynoscion nebulosus",55,6
"200907111550-067","Spotted Seatrout","Cynoscion nebulosus",59,6
"200907111550-067","Spotted Seatrout","Cynoscion nebulosus",70,6
"200907111550-067","Gray Snapper","Lutjanus griseus",190,3
"200907111550-067","Gray Snapper","Lutjanus griseus",190,3
"200907111550-067","Gray Snapper","Lutjanus griseus",215,3
"200907111550-067","Southern Flounder","Paralichthys lethostigma",72,1
"200907111616-068","Spotted Seatrout","Cynoscion nebulosus",34,2
"200907111616-068","Spotted Seatrout","Cynoscion nebulosus",53,2
"200907111616-068","Hogfish","Lachnolaimus maximus",35,1
"200907111616-068","Gray Snapper","Lutjanus griseus",210,2
"200907111616-068","Gray Snapper","Lutjanus griseus",218,2
"200907111645-070","Sheepshead","Archosargus probatocephalus",42,1
"200907111645-070","Spotted Seatrout","Cynoscion nebulosus",36,3
"200907111645-070","Spotted Seatrout","Cynoscion nebulosus",38,3
"200907111645-070","Spotted Seatrout","Cynoscion nebulosus",42,3
"200907111645-070","Gray Snapper","Lutjanus griseus",140,6
"200907111645-070","Gray Snapper","Lutjanus griseus",150,6
"200907111645-070","Gray Snapper","Lutjanus griseus",200,6
"200907111645-070","Gray Snapper","Lutjanus griseus",210,6
"200907111645-070","Gray Snapper","Lutjanus griseus",225,6
"200907111645-070","Gray Snapper","Lutjanus griseus",230,6
"200907120825-251","Gray Snapper","Lutjanus griseus",150,1
"200907120938-071","Spotted Seatrout","Cynoscion nebulosus",46,1
"200907120938-071","Hogfish","Lachnolaimus maximus",75,1
"200907120938-071","Gray Snapper","Lutjanus griseus",100,12
"200907120938-071","Gray Snapper","Lutjanus griseus",113,12
"200907120938-071","Gray Snapper","Lutjanus griseus",130,12
"200907120938-071","Gray Snapper","Lutjanus griseus",130,12
"200907120938-071","Gray Snapper","Lutjanus griseus",144,12
"200907120938-071","Gray Snapper","Lutjanus griseus",185,12
"200907120938-071","Gray Snapper","Lutjanus griseus",210,12
"200907120938-071","Gray Snapper","Lutjanus griseus",220,12
"200907120938-071","Gray Snapper","Lutjanus griseus",225,12
"200907120938-071","Gray Snapper","Lutjanus griseus",230,12
"200907120938-071","Gray Snapper","Lutjanus griseus",230,12
