"keyfield","com_nm","sci_nm","occurrence","abundance","density","year","month","day","time","station","quadrant","lat","long","date","zone","waypoint_start","waypoint_end","tow_time","tow_area","tow_dist_rec","tow_dist_calc","sea_state","atmo","secchi","crew","depth_ft","depth_in","depth_cm","sal","temp","do_sat","do_mgl","chla","cass_spp","cteno_spp","notes","mean_height_Halodule","mean_height_Macroalgae","mean_height_Syringodium","mean_height_Thalassia","mean_height_Algae","mean_pc_Halodule","mean_pc_Macroalgae","mean_pc_Syringodium","mean_pc_Thalassia","mean_pc_Algae"
"200806100855-071","Spotted Seatrout","Cynoscion nebulosus",1,1,0.00429000429000429,2008,6,10,"8:55",71,"N",25.119,-80.929,"6/10/2008","West",NA,NA,NA,233.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.1,28.4,NA,NA,NA,NA,NA,NA,NA,NA,39,46,NA,0,NA,19,71.1111111111111,NA
"200806100953-143","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2008,6,10,"9:53",143,"S",25.099,-80.958,"6/10/2008","West",NA,NA,NA,231,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.4,28.4,NA,NA,NA,NA,NA,NA,24,NA,22,33,NA,85,NA,6,72.1111111111111,NA
"200806101050-157","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2008,6,10,"10:50",157,"S",25.096,-80.931,"6/10/2008","West",NA,NA,NA,178.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.5,28.5,NA,NA,NA,NA,NA,NA,NA,NA,34,64,NA,0,NA,19,72,NA
"200806101330-145","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2008,6,10,"13:30",145,"S",25.072,-80.933,"6/10/2008","West",NA,NA,NA,266.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.1,29.4,NA,NA,NA,NA,NA,NA,NA,NA,36,40,NA,0,NA,13,88,NA
"200806101210-158","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2008,6,10,"12:10",158,"N",25.083,-80.919,"6/10/2008","West",NA,NA,NA,201.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.6,29.6,NA,NA,NA,NA,NA,NA,NA,NA,48,60,NA,0,NA,76,78.2222222222222,NA
"200806101501-122","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2008,6,10,"15:01",122,"E",25.025,-80.938,"6/10/2008","West",NA,NA,NA,231,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.5,29.9,NA,NA,NA,NA,NA,NA,24,NA,54,NA,NA,0,NA,88,78.2222222222222,NA
"200806101410-146","Spotted Seatrout","Cynoscion nebulosus",1,1,0.0025879917184265,2008,6,10,"14:10",146,"E",25.059,-80.921,"6/10/2008","West",NA,NA,NA,386.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.5,29.9,NA,NA,NA,NA,NA,NA,28,NA,25,34,NA,0,NA,14,88,NA
"200806101554-124","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2008,6,10,"15:54",124,"S",24.999,-80.914,"6/10/2008","West",NA,NA,NA,285.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.5,30.7,NA,NA,NA,NA,NA,NA,16,NA,29,27,NA,0,NA,20,77.8888888888889,NA
"200806111123-175","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2008,6,11,"11:23",175,"S",25.115,-80.877,"6/11/2008","West",NA,NA,NA,239.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,29,NA,NA,NA,NA,NA,NA,20,NA,40,44,NA,88,NA,7,72,NA
"200806111305-144","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2008,6,11,"13:05",144,"S",25.085,-80.945,"6/11/2008","West",NA,NA,NA,119.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,29.2,NA,NA,NA,NA,NA,NA,18,NA,20,26,NA,88,NA,5,77.3333333333333,NA
"200806111352-123","Spotted Seatrout","Cynoscion nebulosus",1,1,0.00317460317460317,2008,6,11,"13:52",123,"S",25.012,-80.926,"6/11/2008","West",NA,NA,NA,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,29.8,NA,NA,NA,NA,NA,NA,25,NA,48,37,NA,19,NA,79,78.2222222222222,NA
"200806110933-172","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2008,6,11,"9:33",172,"S",25.104,-80.891,"6/11/2008","West",NA,NA,NA,260.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.2,29.9,NA,NA,NA,NA,NA,NA,22,NA,28,35,NA,0,NA,8,71.5555555555556,NA
"200806111430-136","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2008,6,11,"14:30",136,"S",25.023,-80.912,"6/11/2008","West",NA,NA,NA,409.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,30,NA,NA,NA,NA,NA,NA,35,NA,25,31,NA,0,NA,12,86.2222222222222,NA
"200806111206-169","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2008,6,11,"12:06",169,"N",25.081,-80.893,"6/11/2008","West",NA,NA,NA,384.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,30,NA,NA,NA,NA,NA,NA,25,NA,25,22,NA,88,NA,22,78.6666666666667,NA
"200806111035-176","Spotted Seatrout","Cynoscion nebulosus",1,1,0.0039032006245121,2008,6,11,"10:35",176,"W",25.1,-80.866,"6/11/2008","West",NA,NA,NA,256.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.2,30,NA,NA,NA,NA,NA,NA,29,NA,28,36,NA,74,NA,12,72.8888888888889,NA
"200806120947-040","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2008,6,12,"9:47",40,"E",25.016,-80.978,"6/12/2008","West",NA,NA,NA,258.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,29,NA,NA,NA,NA,NA,NA,NA,NA,52,50,NA,0,NA,24,75,NA
"200806120900-111","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2008,6,12,"9:00",111,"W",25.014,-80.952,"6/12/2008","West",NA,NA,NA,275.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,29,NA,NA,NA,NA,NA,NA,24,NA,45,51,NA,6,NA,46,78.2222222222222,NA
"200806121200-118","Spotted Seatrout","Cynoscion nebulosus",1,1,0.00445037828215398,2008,6,12,"12:00",118,"N",25.076,-80.985,"6/12/2008","West",NA,NA,NA,224.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9,29.6,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,0,NA,69,78.2222222222222,NA
"200806121109-107","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2008,6,12,"11:09",107,"E",25.065,-80.999,"6/12/2008","West",NA,NA,NA,216.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.5,29.9,NA,NA,NA,NA,NA,NA,17,NA,42,60,NA,0,NA,88,78.2222222222222,NA
"200806121332-237","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2008,6,12,"13:32",237,"E",25.126,-80.863,"6/12/2008","Rankin",NA,NA,NA,224.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.2,30.5,NA,NA,NA,NA,NA,NA,24,NA,38,44,NA,0,NA,13,78.5555555555556,NA
"200806121440-251","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2008,6,12,"14:40",251,"S",25.13252,-80.85127,"6/12/2008","Rankin",NA,NA,NA,249.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,31.1,NA,NA,NA,NA,NA,NA,17,NA,35,41,NA,1,NA,0,44.4444444444444,NA
"200806130904-243","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2008,6,13,"9:04",243,"S",25.049,-80.792,"6/13/2008","Rankin",NA,NA,NA,298.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.9,28,NA,NA,NA,NA,NA,NA,10,NA,NA,12,NA,0,NA,0,58.8888888888889,NA
"200806130947-228","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2008,6,13,"9:47",228,"N",25.038,-80.806,"6/13/2008","Rankin",NA,NA,NA,214.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,28.5,NA,NA,NA,NA,NA,NA,14,NA,NA,24,NA,9,NA,0,45.3333333333333,NA
"200806131042-226","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2008,6,13,"10:42",226,"E",25.064,-80.83,"6/13/2008","Rankin",NA,NA,NA,283.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.6,28.6,NA,NA,NA,NA,NA,NA,20,NA,33,25,NA,10,NA,0,63.2222222222222,NA
"200806131130-225","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2008,6,13,"11:30",225,"S",25.077,-80.842,"6/13/2008","Rankin",NA,NA,NA,359.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.1,28.8,NA,NA,NA,NA,NA,NA,14,NA,15,12,NA,0,NA,0,61.8888888888889,NA
"200806131216-240","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2008,6,13,"12:16",240,"S",25.088,-80.828,"6/13/2008","Rankin",NA,NA,NA,359.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.7,29.3,NA,NA,NA,NA,NA,NA,15,NA,NA,17,NA,0,NA,0,61.7777777777778,NA
"200806131302-239","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2008,6,13,"13:02",239,"E",25.1,-80.839,"6/13/2008","Rankin",NA,NA,NA,203.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.8,29.6,NA,NA,NA,NA,NA,NA,17,NA,NA,24,NA,1,NA,0,62.5555555555556,NA
"200806131350-253","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2008,6,13,"13:50",253,"S",25.111,-80.825,"6/13/2008","Rankin",NA,NA,NA,201.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.7,29.6,NA,NA,NA,NA,NA,NA,17,NA,NA,21,NA,0,NA,0,79.2222222222222,NA
"200806131448-254","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2008,6,13,"14:48",254,"S",25.098,-80.814,"6/13/2008","Rankin",NA,NA,NA,279.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.1,30,NA,NA,NA,NA,NA,NA,14,NA,NA,13,NA,1,NA,0,64.6666666666667,NA
"200806140850-265","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2008,6,14,"8:50",265,"S",25.135,-80.823,"6/14/2008","Rankin",NA,NA,NA,235.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.5,27.3,NA,NA,NA,NA,NA,NA,14,NA,31,31,NA,17,NA,1,76.8888888888889,NA
"200806140955-278","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2008,6,14,"9:55",278,"W",25.145,-80.809,"6/14/2008","Rankin",NA,NA,NA,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.4,27.5,NA,NA,NA,NA,NA,NA,15,NA,28,27,NA,4,NA,0,54.5555555555556,NA
"200806141048-279","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2008,6,14,"10:48",279,"W",25.133,-80.797,"6/14/2008","Rankin",NA,NA,NA,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.9,28.4,NA,NA,NA,NA,NA,NA,15,NA,17,18,NA,1,NA,0,46.8888888888889,NA
"200806141220-281","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2008,6,14,"12:20",281,"S",25.107,-80.774,"6/14/2008","Whipray",NA,NA,NA,310.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.5,28.8,NA,NA,NA,NA,NA,NA,9,NA,NA,20,NA,7,NA,0,23.3333333333333,NA
"200806141130-280","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2008,6,14,"11:30",280,"W",25.12,-80.785,"6/14/2008","Rankin",NA,NA,NA,346.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.3,28.9,NA,NA,NA,NA,NA,NA,12,NA,20,22,NA,1,NA,2,70.5555555555556,NA
"200806141307-269","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2008,6,14,"13:07",269,"E",25.083,-80.776,"6/14/2008","Whipray",NA,NA,NA,434.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.6,29.5,NA,NA,NA,NA,NA,NA,12,NA,NA,26,NA,2,NA,0,19.7777777777778,NA
"200806150807-271","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2008,6,15,"8:07",271,"E",25.058,-80.752,"6/15/2008","Whipray",NA,NA,NA,388.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.3,27.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,0,NA,0,38,NA
"200806150848-284","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2008,6,15,"8:48",284,"N",25.069,-80.738,"6/15/2008","Whipray",NA,NA,NA,432.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.9,27.7,NA,NA,NA,NA,NA,NA,9,NA,NA,16,NA,0,NA,0,60.3333333333333,NA
"200806150926-294","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2008,6,15,"9:26",294,"W",25.078,-80.728,"6/15/2008","Whipray",NA,NA,NA,384.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.7,27.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,0,NA,0,47.1111111111111,NA
"200806151001-283","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2008,6,15,"10:01",283,"W",25.081,-80.75,"6/15/2008","Whipray",NA,NA,NA,184.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.4,28.3,NA,NA,NA,NA,NA,NA,9,NA,NA,23,NA,0,NA,0,31,NA
"200806151043-290","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2008,6,15,"10:43",290,"S",25.131,-80.771,"6/15/2008","Whipray",NA,NA,NA,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.2,28.3,NA,NA,NA,NA,NA,NA,15,NA,23,22,NA,1,NA,0,60.8888888888889,NA
"200806151126-301","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2008,6,15,"11:26",301,"E",25.129,-80.745,"6/15/2008","Whipray",NA,NA,NA,352.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.8,28.6,NA,NA,NA,NA,NA,NA,10,NA,NA,15,NA,2,NA,0,30.4444444444444,NA
"200806151209-302","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2008,6,15,"12:09",302,"E",25.116,-80.734,"6/15/2008","Whipray",NA,NA,NA,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,28.6,NA,NA,NA,NA,NA,NA,9,NA,NA,15,NA,1,NA,0,23.6666666666667,NA
"200806160950-616","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2008,6,16,"9:50",616,"E",25.148,-80.691,"6/16/2008","Crocodile",NA,NA,NA,405.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.6,28.6,NA,NA,NA,NA,NA,NA,7,NA,NA,10,NA,0,NA,0,10,NA
"200806161027-618","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2008,6,16,"10:27",618,"S",25.159,-80.677,"6/16/2008","Crocodile",NA,NA,NA,415.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.7,28.9,NA,NA,NA,NA,NA,NA,8,NA,NA,16,NA,1,NA,0,4.77777777777778,NA
"200806160905-323","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2008,6,16,"9:05",323,"S",25.137,-80.705,"6/16/2008","Crocodile",NA,NA,NA,375.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.7,29,NA,NA,NA,NA,NA,NA,8,NA,NA,11,NA,2,NA,0,28.5555555555556,NA
"200806161141-619","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2008,6,16,"11:41",619,"N",25.149,-80.668,"6/16/2008","Crocodile",NA,NA,NA,409.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.3,29.2,NA,NA,NA,NA,NA,NA,5,NA,NA,14,NA,0,NA,0,15,NA
"200806161108-621","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2008,6,16,"11:08",621,"W",25.167,-80.664,"6/16/2008","Crocodile",NA,NA,NA,378,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.3,29.2,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,2,NA,0,5.33333333333333,NA
"200806160824-312","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2008,6,16,"8:24",312,"E",25.139,-80.733,"6/16/2008","Whipray",NA,NA,NA,333.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.7,29.4,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,2,NA,0,17.7777777777778,NA
"200806161243-324","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2008,6,16,"12:43",324,"N",25.124,-80.694,"6/16/2008","Crocodile",NA,NA,NA,390.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.8,30.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,0,NA,0,88,NA
"200806170922-326","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2008,6,17,"9:22",326,"N",25.099,-80.67,"6/17/2008","Crocodile",NA,NA,NA,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.2,29.5,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,5,NA,0,6.22222222222222,NA
"200806170811-402","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2008,6,17,"8:11",402,"E",25.122,-80.668,"6/17/2008","Crocodile",NA,NA,NA,413.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.5,29.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,0,NA,0,50,NA
"200806170843-403","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2008,6,17,"8:43",403,"E",25.11,-80.656,"6/17/2008","Crocodile",NA,NA,NA,382.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,29.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,0,NA,0,26,NA
"200806170955-404","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2008,6,17,"9:55",404,"W",25.099,-80.642,"6/17/2008","Crocodile",NA,NA,NA,396.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.4,30.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,0,NA,0,25,NA
"200807080945-073","Spotted Seatrout","Cynoscion nebulosus",1,1,0.005175983436853,2008,7,8,"9:45",73,"E",25.13,-80.915,"7/8/2008","West",NA,NA,NA,193.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.6,28.2,NA,NA,NA,NA,NA,NA,23,NA,35,58,NA,2,NA,13,71.1111111111111,NA
"200807080855-070","Spotted Seatrout","Cynoscion nebulosus",1,3,0.0134770889487871,2008,7,8,"8:55",70,"E",25.132,-80.941,"7/8/2008","West",NA,NA,NA,222.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.5,28.3,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,1,NA,0,66.6666666666667,NA
"200807081118-067","Spotted Seatrout","Cynoscion nebulosus",1,1,0.00264550264550265,2008,7,8,"11:18",67,"W",25.134,-80.967,"7/8/2008","West",NA,NA,NA,378,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.7,28.8,NA,NA,NA,NA,NA,NA,17,NA,33,42,NA,1,NA,7,67.5555555555556,NA
"200807081038-071","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2008,7,8,"10:38",71,"E",25.119,-80.929,"7/8/2008","West",NA,NA,NA,409.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.7,28.9,NA,NA,NA,NA,NA,NA,16,NA,NA,22,NA,0,NA,0,66.6666666666667,NA
"200807081241-130","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2008,7,8,"12:41",130,"W",25.1,-80.983,"7/8/2008","West",NA,NA,NA,420,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.2,29.3,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,0,NA,11,68.4444444444444,NA
"200807081210-065","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2008,7,8,"12:10",65,"S",25.123,-80.981,"7/8/2008","West",NA,NA,NA,321.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.7,29.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200807081525-040","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2008,7,8,"15:25",40,"E",25.016,-80.978,"7/8/2008","West",NA,NA,NA,193.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.4,30.2,NA,NA,NA,NA,NA,NA,NA,NA,47,NA,NA,0,NA,11,68.4444444444444,NA
"200807081345-108","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2008,7,8,"13:45",108,"N",25.052,-80.987,"7/8/2008","West",NA,NA,NA,254.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.5,30.5,NA,NA,NA,NA,NA,NA,18,NA,47,55,NA,0,NA,46,80.4444444444444,NA
"200807091000-173","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2008,7,9,"10:00",173,"E",25.092,-80.879,"7/9/2008","West",NA,NA,NA,252,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,29,NA,NA,NA,NA,NA,NA,21,NA,32,21,NA,0,NA,9,80.5555555555556,NA
"200807091130-168","Spotted Seatrout","Cynoscion nebulosus",1,1,0.00275254610514726,2008,7,9,"11:30",168,"N",25.094,-80.905,"7/9/2008","West",NA,NA,NA,363.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,29.3,NA,NA,NA,NA,NA,NA,27,NA,NA,55,NA,88,NA,0,71.1111111111111,NA
"200807091453-156","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2008,7,9,"14:53",156,"N",25.108,-80.943,"7/9/2008","West",NA,NA,NA,283.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,29.5,NA,NA,NA,NA,NA,NA,22,NA,36,NA,NA,2,NA,5,67.5555555555556,NA
"200807090912-176","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2008,7,9,"9:12",176,"W",25.1,-80.866,"7/9/2008","West",NA,NA,NA,174.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,29.5,NA,NA,NA,NA,NA,NA,27,NA,36,44,NA,30,NA,9,74.3333333333333,NA
"200807091223-158","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2008,7,9,"12:23",158,"N",25.083,-80.919,"7/9/2008","West",NA,NA,NA,279.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,29.7,NA,NA,NA,NA,NA,NA,22,NA,39,64,NA,0,NA,14,70.2222222222222,NA
"200807091410-133","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2008,7,9,"14:10",133,"E",25.061,-80.947,"7/9/2008","West",NA,NA,NA,212.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.5,30,NA,NA,NA,NA,NA,NA,24,NA,40,54,NA,1,NA,61,88,NA
"200807091310-157","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2008,7,9,"13:10",157,"W",25.096,-80.931,"7/9/2008","West",NA,NA,NA,199.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,30,NA,NA,NA,NA,NA,NA,28,NA,24,36,NA,88,NA,22,78.2222222222222,NA
"200807091040-172","Spotted Seatrout","Cynoscion nebulosus",1,2,0.00547345374931582,2008,7,9,"10:40",172,"E",25.104,-80.891,"7/9/2008","West",NA,NA,NA,365.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,30,NA,NA,NA,NA,NA,NA,16,NA,29,48,NA,4,NA,14,71.1111111111111,NA
"200807100850-023","Spotted Seatrout","Cynoscion nebulosus",1,5,0.0140056022408964,2008,7,10,"8:50",23,"N",25.044,-81.027,"7/10/2008","West",NA,NA,NA,357,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,29,NA,NA,NA,NA,NA,NA,32,NA,31,NA,NA,10,NA,23,72.8888888888889,NA
"200807101100-021","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2008,7,10,"11:00",21,"N",25.069,-81.051,"7/10/2008","West",NA,NA,NA,331.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.4,29.7,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,0,NA,10,68.4444444444444,NA
"200807101000-022","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2008,7,10,"10:00",22,"E",25.056,-81.039,"7/10/2008","West",NA,NA,NA,357,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.7,29.7,NA,NA,NA,NA,NA,NA,NA,NA,41,43,NA,0,NA,29,74.7777777777778,NA
"200807101155-020","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2008,7,10,"11:55",20,"W",25.082,-81.063,"7/10/2008","West",NA,NA,NA,354.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.4,29.8,NA,NA,NA,NA,NA,NA,NA,NA,18,32,NA,0,NA,6,66.6666666666667,NA
"200807101430-266","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2008,7,10,"14:30",266,"E",25.122,-80.811,"7/10/2008","Rankin",NA,NA,NA,371.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.9,30,NA,NA,NA,NA,NA,NA,15,NA,19,27,NA,0,NA,0,85.8888888888889,NA
"200807101230-101","Spotted Seatrout","Cynoscion nebulosus",1,1,0.00342583076396026,2008,7,10,"12:30",101,"N",25.08,-81.037,"7/10/2008","West",NA,NA,NA,291.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.5,30.1,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,0,NA,54,78.2222222222222,NA
"200807101535-267","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2008,7,10,"15:35",267,"N",25.109,-80.799,"7/10/2008","Rankin",NA,NA,NA,346.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,31.2,NA,NA,NA,NA,NA,NA,16,NA,27,20,NA,1,NA,2,82.1111111111111,NA
"200807101500-279","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2008,7,10,"15:00",279,"W",25.133,-80.797,"7/10/2008","Rankin",NA,NA,NA,298.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.3,31.3,NA,NA,NA,NA,NA,NA,16,NA,21,28,NA,1,NA,0,53.1111111111111,NA
"200807101335-251","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2008,7,10,"13:35",251,"S",25.13252,-80.85127,"7/10/2008","Rankin",NA,NA,NA,184.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.6,31.4,NA,NA,NA,NA,NA,NA,27,NA,32,43,NA,1,NA,2,50.7777777777778,NA
"200807110850-224","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2008,7,11,"8:50",224,"S",25.09,-80.853,"7/11/2008","Rankin",NA,NA,NA,304.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.7,29.2,NA,NA,NA,NA,NA,NA,15,NA,18,18,NA,1,NA,0,61.1111111111111,NA
"200807111030-253","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2008,7,11,"10:30",253,"E",25.111,-80.825,"7/11/2008","Rankin",NA,NA,NA,117.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.4,29.6,NA,NA,NA,NA,NA,NA,16,NA,NA,23,NA,1,NA,0,62.4444444444444,NA
"200807111157-226","Spotted Seatrout","Cynoscion nebulosus",0,0,0,2008,7,11,"11:57",226,"N",25.064,-80.83,"7/11/2008","Rankin",NA,NA,NA,359.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.2,29.8,NA,NA,NA,NA,NA,NA,14,NA,NA,17,NA,0,NA,0,77.1111111111111,NA
