"keyfield","com_nm","sci_nm","count","bulk_wt"
"201409201547-241","Mojarra Spp","Eucinostomus spp",6,3.27
"201409211002-070","Bluestriped Grunt","Haemulon sciurus",1,0.16
"201409211002-070","Fringed Filefish","Monacanthus ciliatus",3,0.85
"201409211002-070","Gray Snapper","Lutjanus griseus",1,1.01
"201409211002-070","Lane Snapper","Lutjanus synagris",2,19.64
"201409211002-070","Mojarra Spp","Eucinostomus spp",49,61.48
"201409211002-070","Pinfish","Lagodon rhomboides",12,99.2
"201409211002-070","Silver Perch","Bairdiella chrysoura",1,4.52
"201409211002-070","White Grunt","Haemulon plumierii",1,2.1
"201409211115-022","Bluestriped Grunt","Haemulon sciurus",1,1.59
"201409211115-022","Lane Snapper","Lutjanus synagris",1,5.32
"201409211115-022","Mojarra Spp","Eucinostomus spp",53,54.35
"201409211115-022","Pinfish","Lagodon rhomboides",11,83.12
"201409211115-022","Rainwater Killifish","Lucania parva",2,0.46
"201409211340-168","Bay Anchovy","Anchoa mitchilli",3,0.13
"201409211340-168","Fringed Filefish","Monacanthus ciliatus",1,0.12
"201409211340-168","Mojarra Spp","Eucinostomus spp",15,9.28
"201409211340-168","Rainwater Killifish","Lucania parva",1,0.06
"201409221033-270","Mojarra Spp","Eucinostomus spp",3,2.49
"201409221135-301","Mojarra Spp","Eucinostomus spp",2,14.15
"201409261325-402","Mojarra Spp","Eucinostomus spp",8,5.25
"201409261402-618","Goldspotted Killifish","Floridichthys carpio",1,0.4
"201409261402-618","Mojarra Spp","Eucinostomus spp",11,19.62
"201409261451-315","Dwarf Seahorse","Hippocampus zosterae",1,0.06
"201409261451-315","Goldspotted Killifish","Floridichthys carpio",1,0.16
"201409261451-315","Mojarra Spp","Eucinostomus spp",3,4.16
"201410111119-266","Mojarra Spp","Eucinostomus spp",5,17.63
"201410120928-070","Bay Anchovy","Anchoa mitchilli",3,0.52
"201410120928-070","Fringed Filefish","Monacanthus ciliatus",4,6.93
"201410120928-070","Gulf Pipefish","Syngnathus scovelli",1,0.04
"201410120928-070","Mojarra Spp","Eucinostomus spp",63,63.89
"201410120928-070","Pinfish","Lagodon rhomboides",22,179
"201410120928-070","Sargassum Pipefish","Syngnathus pelagicus",1,0.37
"201410120928-070","White Grunt","Haemulon plumierii",1,4.68
"201410121006-168","Fringed Filefish","Monacanthus ciliatus",1,1.12
"201410121006-168","Mojarra Spp","Eucinostomus spp",39,59.68
"201410121035-146","Mojarra Spp","Eucinostomus spp",26,15.41
"201410121035-146","Pinfish","Lagodon rhomboides",1,16.9
"201410121035-146","Rainwater Killifish","Lucania parva",5,1.25
"201410121132-123","Mojarra Spp","Eucinostomus spp",40,34.26
"201410121132-123","Rainwater Killifish","Lucania parva",1,0.4
"201410121236-022","Fringed Filefish","Monacanthus ciliatus",5,6.34
"201410121236-022","Mojarra Spp","Eucinostomus spp",10,33.07
"201410121236-022","Pinfish","Lagodon rhomboides",1,14.18
"201410121236-022","Sargassum Pipefish","Syngnathus pelagicus",2,0.41
"201410121236-022","White Grunt","Haemulon plumierii",4,2.39
"201410121507-301","Gulf Pipefish","Syngnathus scovelli",3,0.26
"201410121507-301","Mojarra Spp","Eucinostomus spp",13,23.6
"201410121507-301","Rainwater Killifish","Lucania parva",5,1.56
"201410131008-312","Spotted Seatrout","Cynoscion nebulosus",1,2.85
"201410131131-618","Dwarf Seahorse","Hippocampus zosterae",2,0.29
"201410131131-618","Mojarra Spp","Eucinostomus spp",6,10.34
"201410131231-402","Dwarf Seahorse","Hippocampus zosterae",2,0.22
"201410131348-314","Mojarra Spp","Eucinostomus spp",1,1.92
"201410141011-270","Mojarra Spp","Eucinostomus spp",6,9.74
"201505231320-301","Mojarra Spp","Eucinostomus spp",7,18.62
"201505231440-270","Mojarra Spp","Eucinostomus spp",1,3.31
"201505241053-168","Code Goby","Gobiosoma robustum",1,0.07
"201505241053-168","Goldspotted Killifish","Floridichthys carpio",1,0.9
"201505241053-168","Mojarra Spp","Eucinostomus spp",32,29.33
"201505241053-168","Pinfish","Lagodon rhomboides",8,22.27
"201505241053-168","Rainwater Killifish","Lucania parva",27,4.61
"201505241118-146","Mojarra Spp","Eucinostomus spp",2,0.33
"201505241118-146","Pinfish","Lagodon rhomboides",1,5.06
"201505241118-146","Planehead Filefish","Stephanolepis hispidus",2,1.55
"201505241118-146","Rainwater Killifish","Lucania parva",1,0.25
"201505241118-146","Spotted Seatrout","Cynoscion nebulosus",1,0.32
"201505241143-123","Dwarf Seahorse","Hippocampus zosterae",1,0.06
"201505241143-123","Mojarra Spp","Eucinostomus spp",41,7.04
"201505241143-123","Pinfish","Lagodon rhomboides",1,2.71
"201505241143-123","Rainwater Killifish","Lucania parva",13,1.3
"201505241143-123","Spotted Seatrout","Cynoscion nebulosus",1,0.64
"201505241348-022","Fringed Pipefish","Anarchopterus criniger",1,0.05
"201505241348-022","Grass Porgy","Calamus arctifrons",1,2.1
"201505241348-022","Mojarra Spp","Eucinostomus spp",3,4.05
"201505241510-067","Spotted Seatrout","Cynoscion nebulosus",1,0.72
"201505241525-070","Bay Anchovy","Anchoa mitchilli",5,0.41
"201505241525-070","Code Goby","Gobiosoma robustum",1,0.43
"201505241525-070","Florida Grassflat Crab","Neopanope packardii",4,0.42
"201505241525-070","Fringed Filefish","Monacanthus ciliatus",1,0.37
"201505241525-070","Gulf Pipefish","Syngnathus scovelli",1,0.03
"201505241525-070","Gulf Toadfish","Opsanus beta",1,3.62
"201505241525-070","Mojarra Spp","Eucinostomus spp",22,4.3
"201505241525-070","Pinfish","Lagodon rhomboides",10,24.39
"201505241525-070","Silver Perch","Bairdiella chrysoura",23,23.49
"201505251009-314","Florida Grassflat Crab","Neopanope packardii",2,4.08
"201505251110-618","Dwarf Seahorse","Hippocampus zosterae",3,0.32
"201505251110-618","Sargassum Pipefish","Syngnathus pelagicus",1,0.26
"201505251148-402","Dwarf Seahorse","Hippocampus zosterae",1,0.06
"201505251148-402","Mojarra Spp","Eucinostomus spp",1,0.17
"201505251420-266","Mojarra Spp","Eucinostomus spp",3,2.18
"201505251420-266","Rainwater Killifish","Lucania parva",1,0.17
"201505261106-241","Mojarra Spp","Eucinostomus spp",2,1.94
"201505261106-241","Rainwater Killifish","Lucania parva",6,1.58
"201506200942-070","Fringed Filefish","Monacanthus ciliatus",4,10.31
"201506200942-070","Fringed Pipefish","Anarchopterus criniger",2,0.34
"201506200942-070","Gulf Pipefish","Syngnathus scovelli",1,0.48
"201506200942-070","Lane Snapper","Lutjanus synagris",1,1.67
"201506200942-070","Mojarra Spp","Eucinostomus spp",74,28.36
"201506200942-070","Pinfish","Lagodon rhomboides",27,169.51
"201506200942-070","Sargassum Pipefish","Syngnathus pelagicus",4,3.4
"201506200942-070","Silver Perch","Bairdiella chrysoura",29,73.91
"201506200942-070","White Grunt","Haemulon plumierii",1,0.81
"201506201035-168","Gulf Pipefish","Syngnathus scovelli",3,0.56
"201506201035-168","Mojarra Spp","Eucinostomus spp",2,0.25
"201506201035-168","Pinfish","Lagodon rhomboides",1,6.22
"201506201035-168","Rainwater Killifish","Lucania parva",12,5.04
"201506201035-168","Sargassum Pipefish","Syngnathus pelagicus",1,0.08
"201506201035-168","Silver Perch","Bairdiella chrysoura",5,5.95
"201506201118-146","Fringed Pipefish","Anarchopterus criniger",1,0.06
"201506201118-146","Goldspotted Killifish","Floridichthys carpio",1,0.49
"201506201118-146","Mojarra Spp","Eucinostomus spp",1,0.5
"201506201118-146","Rainwater Killifish","Lucania parva",3,0.4
"201506201200-123","Fringed Filefish","Monacanthus ciliatus",1,3.06
"201506201200-123","Gulf Pipefish","Syngnathus scovelli",3,0.45
"201506201200-123","Mojarra Spp","Eucinostomus spp",7,2.17
"201506201200-123","Pinfish","Lagodon rhomboides",5,23.9
"201506201220-122","Spotted Seatrout","Cynoscion nebulosus",1,1.11
"201506201320-022","Banded Blenny","Paraclinus fasciatus",1,0.69
"201506201320-022","Fringed Filefish","Monacanthus ciliatus",6,11.43
"201506201320-022","Great Barracuda","Sphyraena barracuda",3,1.2
"201506201320-022","Lane Snapper","Lutjanus synagris",1,0.81
"201506201320-022","Marbled Blenny","Paraclinus marmoratus",1,0.27
"201506201320-022","Mojarra Spp","Eucinostomus spp",113,39.1
"201506201320-022","Pinfish","Lagodon rhomboides",11,26.06
"201506201320-022","Rainwater Killifish","Lucania parva",6,0.83
"201506201320-022","Sailor's Grunt","Haemulon parra",5,3.42
"201506201320-022","Sargassum Pipefish","Syngnathus pelagicus",1,0.27
"201506201320-022","Silver Perch","Bairdiella chrysoura",19,32.82
"201506201320-022","Spotted Seatrout","Cynoscion nebulosus",5,7.07
"201506211035-314","Goby Spp","Gobiidae spp",1,0.31
"201506211108-618","Mojarra Spp","Eucinostomus spp",15,25.2
"201506211209-402","Dwarf Seahorse","Hippocampus zosterae",2,0.06
"201506211209-402","Goldspotted Killifish","Floridichthys carpio",2,0.46
"201506211209-402","Mojarra Spp","Eucinostomus spp",11,10.6
"201506221005-301","Mojarra Spp","Eucinostomus spp",7,7.79
"201506221005-301","Rainwater Killifish","Lucania parva",1,0.53
"201506221117-270","Dwarf Seahorse","Hippocampus zosterae",1,0.19
"201506221117-270","Mojarra Spp","Eucinostomus spp",3,1.45
"201506221310-266","Pinfish","Lagodon rhomboides",1,4.71
"201506221310-266","Rainwater Killifish","Lucania parva",5,0.96
"201506231112-241","Gulf Pipefish","Syngnathus scovelli",1,0.34
"201506231112-241","Mojarra Spp","Eucinostomus spp",8,2.94
"201506231112-241","Rainwater Killifish","Lucania parva",7,0.52
"201507181005-070","Fringed Filefish","Monacanthus ciliatus",2,3.4
"201507181005-070","Lane Snapper","Lutjanus synagris",2,1.98
"201507181005-070","Mojarra Spp","Eucinostomus spp",139,70.25
"201507181005-070","Pinfish","Lagodon rhomboides",2,16.08
"201507181005-070","Silver Perch","Bairdiella chrysoura",3,2.15
"201507181146-168","Dwarf Seahorse","Hippocampus zosterae",3,0.08
"201507181146-168","Fringed Pipefish","Anarchopterus criniger",1,0.05
"201507181146-168","Goldspotted Killifish","Floridichthys carpio",2,0.52
"201507181146-168","Gulf Pipefish","Syngnathus scovelli",6,1.36
"201507181146-168","Mojarra Spp","Eucinostomus spp",68,37.86
"201507181146-168","Pinfish","Lagodon rhomboides",7,76.72
"201507181146-168","Rainwater Killifish","Lucania parva",217,24.01
"201507181146-168","Sargassum Pipefish","Syngnathus pelagicus",1,0.54
"201507181146-168","Silver Perch","Bairdiella chrysoura",22,72.75
"201507181146-168","Spotted Seatrout","Cynoscion nebulosus",2,0.87
"201507181300-146","Gulf Pipefish","Syngnathus scovelli",2,0.5
"201507181300-146","Gulf Toadfish","Opsanus beta",7,36.37
"201507181300-146","Mojarra Spp","Eucinostomus spp",5,1.38
"201507181300-146","Pinfish","Lagodon rhomboides",2,26.3
"201507181300-146","Rainwater Killifish","Lucania parva",62,9.52
"201507181300-146","Silver Perch","Bairdiella chrysoura",1,5.65
"201507181325-134","Spotted Seatrout","Cynoscion nebulosus",1,1.6
"201507181400-123","Fringed Pipefish","Anarchopterus criniger",1,0.14
"201507181400-123","Great Barracuda","Sphyraena barracuda",1,0.41
"201507181400-123","Mojarra Spp","Eucinostomus spp",9,7.85
"201507181400-123","Pinfish","Lagodon rhomboides",4,29.71
"201507181400-123","Rainwater Killifish","Lucania parva",9,1.45
"201507181400-123","Silver Perch","Bairdiella chrysoura",3,7.5
"201507181445-024","Spotted Seatrout","Cynoscion nebulosus",1,2.3
"201507181500-022","Fringed Filefish","Monacanthus ciliatus",1,2.02
"201507181500-022","Mojarra Spp","Eucinostomus spp",16,4.78
"201507181500-022","Rainwater Killifish","Lucania parva",2,0.35
"201507181500-022","Sheepshead Minnow","Cyprinodon variegatus",1,0.69
"201507181500-022","Silver Perch","Bairdiella chrysoura",2,5.47
"201507191036-314","Mojarra Spp","Eucinostomus spp",9,18.41
"201507191135-618","Dwarf Seahorse","Hippocampus zosterae",1,0.03
"201507191135-618","Goldspotted Killifish","Floridichthys carpio",31,16.95
"201507191135-618","Mojarra Spp","Eucinostomus spp",178,322.38
"201507191245-402","Goby Spp","Gobiidae spp",1,0.22
"201507191245-402","Goldspotted Killifish","Floridichthys carpio",1,0.52
"201507191245-402","Mojarra Spp","Eucinostomus spp",17,41.3
"201507191245-402","Sargassum Pipefish","Syngnathus pelagicus",1,0.49
"201507201012-301","Mojarra Spp","Eucinostomus spp",44,96.03
"201507201012-301","Pinfish","Lagodon rhomboides",5,73.14
"201507201130-270","Mojarra Spp","Eucinostomus spp",5,8.59
"201507201130-270","Rainwater Killifish","Lucania parva",1,0.47
"201507201323-266","Code Goby","Gobiosoma robustum",1,0.28
"201507201323-266","Gulf Pipefish","Syngnathus scovelli",1,0.57
"201507201323-266","Gulf Toadfish","Opsanus beta",82,423.81
"201507201323-266","Rainwater Killifish","Lucania parva",218,51.41
"201507201323-266","Sheepshead Minnow","Cyprinodon variegatus",1,0.91
"201507211042-241","Code Goby","Gobiosoma robustum",9,2.5
"201507211042-241","Gulf Toadfish","Opsanus beta",30,13.47
"201507211042-241","Mojarra Spp","Eucinostomus spp",7,4.67
"201507211042-241","Rainwater Killifish","Lucania parva",129,13.94
"201508151417-070","Code Goby","Gobiosoma robustum",1,0.12
"201508151417-070","Dwarf Seahorse","Hippocampus zosterae",4,0.29
"201508151417-070","Florida Blenny","Chasmodes saburrae",1,0.3
"201508151417-070","Gray Snapper","Lutjanus griseus",1,1.35
"201508151417-070","Gulf Pipefish","Syngnathus scovelli",6,1.04
"201508151417-070","Lane Snapper","Lutjanus synagris",1,3.28
"201508151417-070","Mojarra Spp","Eucinostomus spp",155,95.48
"201508151417-070","Pinfish","Lagodon rhomboides",16,103.19
"201508151417-070","Rainwater Killifish","Lucania parva",54,8.11
"201508151417-070","Sailfin Molly","Poecilia latipinna",2,0.19
"201508151417-070","Sargassum Pipefish","Syngnathus pelagicus",5,2.2
"201508151417-070","Silver Perch","Bairdiella chrysoura",7,42.64
"201508151417-070","Striped Burrfish","Chilomycterus schoepfi",1,1.06
"201508151622-022","Bluestriped Grunt","Haemulon sciurus",1,0.94
"201508151622-022","Dwarf Seahorse","Hippocampus zosterae",7,1.24
"201508151622-022","Fringed Filefish","Monacanthus ciliatus",7,14.67
"201508151622-022","Grunt Spp","Haemulon spp",3,0.64
"201508151622-022","Gulf Pipefish","Syngnathus scovelli",8,3.14
"201508151622-022","Lane Snapper","Lutjanus synagris",1,1.75
"201508151622-022","Mojarra Spp","Eucinostomus spp",176,68.98
"201508151622-022","Pinfish","Lagodon rhomboides",24,92.28
"201508151622-022","Rainwater Killifish","Lucania parva",35,6.29
"201508151622-022","Sargassum Pipefish","Syngnathus pelagicus",9,3.91
"201508151622-022","Scrawled Cowfish","Acanthostracion quadricornis",1,23.93
"201508151622-022","Silver Perch","Bairdiella chrysoura",11,106.39
"201508151622-022","Spotted Seatrout","Cynoscion nebulosus",1,0.19
"201508151622-022","Striped Burrfish","Chilomycterus schoepfi",1,0.63
"201508151622-022","White Grunt","Haemulon plumierii",1,17.43
"201508151645-023","Spotted Seatrout","Cynoscion nebulosus",1,1.84
"201508151725-123","Gulf Pipefish","Syngnathus scovelli",5,1.5
"201508151725-123","Marbled Blenny","Paraclinus marmoratus",1,2.73
"201508151725-123","Mojarra Spp","Eucinostomus spp",34,13.83
"201508151725-123","Pinfish","Lagodon rhomboides",2,14.89
"201508151725-123","Rainwater Killifish","Lucania parva",15,1.71
"201508151725-123","Sargassum Pipefish","Syngnathus pelagicus",3,1.04
"201508151725-123","Silver Perch","Bairdiella chrysoura",1,9.72
"201508151755-146","Dwarf Seahorse","Hippocampus zosterae",1,0.09
"201508151755-146","Great Barracuda","Sphyraena barracuda",1,1.3
"201508151755-146","Gulf Pipefish","Syngnathus scovelli",9,2.29
"201508151755-146","Mojarra Spp","Eucinostomus spp",53,6.05
"201508151755-146","Pinfish","Lagodon rhomboides",2,24.79
"201508151755-146","Rainwater Killifish","Lucania parva",17,2.69
"201508151755-146","Silver Perch","Bairdiella chrysoura",1,7.43
"201508161011-314","Gulf Pipefish","Syngnathus scovelli",1,0.73
"201508161011-314","Mojarra Spp","Eucinostomus spp",11,35.51
"201508161110-618","Gulf Pipefish","Syngnathus scovelli",8,1.34
"201508161110-618","Mojarra Spp","Eucinostomus spp",45,133.95
"201508161110-618","Sargassum Pipefish","Syngnathus pelagicus",1,0.53
"201508161214-402","Goldspotted Killifish","Floridichthys carpio",5,1.59
"201508161214-402","Gulf Toadfish","Opsanus beta",1,0.95
"201508161214-402","Mojarra Spp","Eucinostomus spp",8,24.44
"201508171011-301","Mojarra Spp","Eucinostomus spp",24,36.49
"201508171128-270","Mojarra Spp","Eucinostomus spp",7,15.4
"201508171309-241","Mojarra Spp","Eucinostomus spp",9,3.38
"201508171309-241","Rainwater Killifish","Lucania parva",66,10.96
"201508180940-168","Mojarra Spp","Eucinostomus spp",81,28.61
"201508180940-168","Pinfish","Lagodon rhomboides",5,50.49
"201508180940-168","Rainwater Killifish","Lucania parva",184,30.66
"201508180940-168","Silver Perch","Bairdiella chrysoura",17,100.28
"201508181130-266","Mojarra Spp","Eucinostomus spp",1,5.2
"201508181130-266","Rainwater Killifish","Lucania parva",11,2.1
"201509041059-070","Bluestriped Grunt","Haemulon sciurus",1,0.31
"201509041059-070","Dusky Pipefish","Syngnathus floridae",3,1.79
"201509041059-070","Fringed Filefish","Monacanthus ciliatus",6,22.63
"201509041059-070","Lane Snapper","Lutjanus synagris",6,21.9
"201509041059-070","Lined Seahorse","Hippocampus erectus",1,0.61
"201509041059-070","Majid Crab","Pitho quadridentata",1,3.57
"201509041059-070","Mojarra Spp","Eucinostomus spp",238,304.38
"201509041059-070","Pinfish","Lagodon rhomboides",17,174.2
"201509041059-070","Rainwater Killifish","Lucania parva",1,0.05
"201509041059-070","Scrawled Cowfish","Acanthostracion quadricornis",1,16.8
"201509041059-070","Silver Perch","Bairdiella chrysoura",24,221.19
"201509041125-065","Spotted Seatrout","Cynoscion nebulosus",1,0.04
"201509041212-168","Bay Anchovy","Anchoa mitchilli",2,0.08
"201509041212-168","Dusky Pipefish","Syngnathus floridae",1,0.62
"201509041212-168","Dwarf Seahorse","Hippocampus zosterae",1,0.02
"201509041212-168","Fringed Filefish","Monacanthus ciliatus",3,3.14
"201509041212-168","Gulf Pipefish","Syngnathus scovelli",4,0.92
"201509041212-168","Lane Snapper","Lutjanus synagris",2,4.77
"201509041212-168","Mojarra Spp","Eucinostomus spp",325,237.4
"201509041212-168","Pinfish","Lagodon rhomboides",2,29.97
"201509041212-168","Rainwater Killifish","Lucania parva",246,36.23
"201509041212-168","Silver Perch","Bairdiella chrysoura",1,3.89
"201509041302-146","Fringed Filefish","Monacanthus ciliatus",1,0.77
"201509041302-146","Mojarra Spp","Eucinostomus spp",19,12.22
"201509041302-146","Rainwater Killifish","Lucania parva",1,0.18
"201509041405-123","Dusky Pipefish","Syngnathus floridae",2,0.78
"201509041405-123","Dwarf Seahorse","Hippocampus zosterae",2,0.11
"201509041405-123","Fringed Filefish","Monacanthus ciliatus",8,18.71
"201509041405-123","Gulf Pipefish","Syngnathus scovelli",4,1.39
"201509041405-123","Lane Snapper","Lutjanus synagris",1,4.05
"201509041405-123","Mojarra Spp","Eucinostomus spp",211,64.95
"201509041405-123","Pinfish","Lagodon rhomboides",1,17.12
"201509041405-123","Rainwater Killifish","Lucania parva",39,5.49
"201509041605-022","Bluestriped Grunt","Haemulon sciurus",2,0.77
"201509041605-022","Dusky Pipefish","Syngnathus floridae",4,1.93
"201509041605-022","Dwarf Seahorse","Hippocampus zosterae",2,0.08
"201509041605-022","Fringed Filefish","Monacanthus ciliatus",11,23.43
"201509041605-022","Gulf Pipefish","Syngnathus scovelli",1,0.12
"201509041605-022","Lane Snapper","Lutjanus synagris",1,0.83
"201509041605-022","Long Snout Seahorse","Hippocampus reidi",1,0.06
"201509041605-022","Mojarra Spp","Eucinostomus spp",247,208.36
"201509041605-022","Pinfish","Lagodon rhomboides",15,119.05
"201509041605-022","Rainwater Killifish","Lucania parva",56,11.46
"201509041605-022","Silver Perch","Bairdiella chrysoura",14,116.23
"201509051122-301","Clown Goby","Microgobius gulosus",1,0.08
"201509051122-301","Mojarra Spp","Eucinostomus spp",43,69.04
"201509051122-301","Rainwater Killifish","Lucania parva",2,0.36
"201509051241-270","Goldspotted Killifish","Floridichthys carpio",1,0.63
"201509051241-270","Gulf Toadfish","Opsanus beta",1,3.36
"201509051241-270","Mojarra Spp","Eucinostomus spp",27,29.4
"201509051241-270","Rainwater Killifish","Lucania parva",14,1.65
"201509051302-256","Spotted Seatrout","Cynoscion nebulosus",1,0.43
"201509051421-266","Mojarra Spp","Eucinostomus spp",8,9.08
"201509051421-266","Rainwater Killifish","Lucania parva",10,2.14
"201509051421-266","Sailfin Molly","Poecilia latipinna",3,1.13
"201509061024-314","Gulf Stone Crab","Menippe adina",1,0.79
"201509061024-314","Mojarra Spp","Eucinostomus spp",55,110.05
"201509061121-618","Mojarra Spp","Eucinostomus spp",41,157.62
"201509061202-402","Mojarra Spp","Eucinostomus spp",32,98.77
"201509061440-241","Goldspotted Killifish","Floridichthys carpio",1,0.23
"201509061440-241","Mojarra Spp","Eucinostomus spp",3,1.09
"201510101200-301","Mojarra Spp","Eucinostomus spp",36,47.15
"201510101330-270","Goldspotted Killifish","Floridichthys carpio",2,1.99
"201510101330-270","Gulf Toadfish","Opsanus beta",1,6.22
"201510101330-270","Mojarra Spp","Eucinostomus spp",30,39.78
"201510101330-270","Rainwater Killifish","Lucania parva",21,2.7
"201510101415-268","Spotted Seatrout","Cynoscion nebulosus",1,4.64
"201510110939-070","Fringed Filefish","Monacanthus ciliatus",2,8.16
"201510110939-070","Grunt Spp","Haemulon spp",1,0.12
"201510110939-070","Mojarra Spp","Eucinostomus spp",54,111.08
"201510110939-070","Pinfish","Lagodon rhomboides",14,160.81
"201510110939-070","Spotted Seatrout","Cynoscion nebulosus",1,0.37
"201510110939-070","White Grunt","Haemulon plumierii",1,3.02
"201510111111-021","Dusky Pipefish","Syngnathus floridae",2,0.47
"201510111111-021","Fringed Filefish","Monacanthus ciliatus",1,6.96
"201510111111-021","Grunt Spp","Haemulon spp",4,0.59
"201510111111-021","Gulf Pipefish","Syngnathus scovelli",1,0.59
"201510111111-021","Lane Snapper","Lutjanus synagris",3,9.91
"201510111111-021","Mojarra Spp","Eucinostomus spp",134,117.38
"201510111111-021","Pinfish","Lagodon rhomboides",9,62.94
"201510111111-021","Rainwater Killifish","Lucania parva",14,2.58
"201510111111-021","White Grunt","Haemulon plumierii",4,4.29
"201510111242-123","Fringed Filefish","Monacanthus ciliatus",3,11.39
"201510111242-123","Mojarra Spp","Eucinostomus spp",31,34.22
"201510111323-146","Dusky Pipefish","Syngnathus floridae",2,0.46
"201510111323-146","Mojarra Spp","Eucinostomus spp",2,18
"201510111417-168","Gulf Pipefish","Syngnathus scovelli",3,0.7
"201510111417-168","Lane Snapper","Lutjanus synagris",1,4.02
"201510111417-168","Mojarra Spp","Eucinostomus spp",78,81.35
"201510111417-168","Pinfish","Lagodon rhomboides",1,9.78
"201510111417-168","Rainwater Killifish","Lucania parva",65,11.43
"201510121159-618","Goldspotted Killifish","Floridichthys carpio",1,0.06
"201510121159-618","Mojarra Spp","Eucinostomus spp",25,79.68
"201510121159-618","Needlefish Spp","Belonidae spp",1,0.24
"201510121310-402","Bay Anchovy","Anchoa mitchilli",12,4.63
"201510121310-402","Goldspotted Killifish","Floridichthys carpio",1,0.44
"201510121310-402","Gulf Pipefish","Syngnathus scovelli",2,1.11
"201510121310-402","Mojarra Spp","Eucinostomus spp",98,197.87
"201510121310-402","Redfin Needlefish","Strongylura notata",1,0.05
"201510121554-241","Mojarra Spp","Eucinostomus spp",1,0.98
"201510121554-241","Rainwater Killifish","Lucania parva",1,0.24
"201510130900-266","Goldspotted Killifish","Floridichthys carpio",1,0.14
"201510130900-266","Rainwater Killifish","Lucania parva",7,1.18
"201605281129-301","Gulf Toadfish","Opsanus beta",6,4.3
"201605281129-301","Mojarra Spp","Eucinostomus spp",6,24.54
"201605281129-301","Rainwater Killifish","Lucania parva",2,0.47
"201605281314-270","Dusky Pipefish","Syngnathus floridae",1,0.94
"201605281314-270","Mojarra Spp","Eucinostomus spp",31,52.47
"201605281314-270","Rainwater Killifish","Lucania parva",4,2.72
"201605281411-266","Florida Blenny","Chasmodes saburrae",1,4.26
"201605281411-266","Florida Grassflat Crab","Neopanope packardii",1,0.65
"201605281411-266","Gulf Toadfish","Opsanus beta",6,6.85
"201605281411-266","Rainwater Killifish","Lucania parva",1,0.44
"201605291012-314","Flying Gurnard","Dactylopterus volitans",1,0.31
"201605291111-618","Goby Spp","Gobiidae spp",1,0.06
"201605291111-618","Gulf Pipefish","Syngnathus scovelli",1,0.12
"201605291111-618","Gulf Toadfish","Opsanus beta",1,9.64
"201605291111-618","Mojarra Spp","Eucinostomus spp",2,0.73
"201605291111-618","Rainwater Killifish","Lucania parva",1,0.02
"201605291215-402","Dwarf Seahorse","Hippocampus zosterae",2,0.16
"201605291215-402","Halfbeak Spp","Beloniformes spp",1,0.02
"201605301005-070","Code Goby","Gobiosoma robustum",4,0.82
"201605301005-070","Dwarf Seahorse","Hippocampus zosterae",2,0.07
"201605301005-070","Florida Blenny","Chasmodes saburrae",3,1
"201605301005-070","Florida Grassflat Crab","Neopanope packardii",2,1.3
"201605301005-070","Fringed Filefish","Monacanthus ciliatus",1,0.34
"201605301005-070","Grunt Spp","Haemulon spp",1,0.2
"201605301005-070","Gulf Pipefish","Syngnathus scovelli",4,1.09
"201605301005-070","Mojarra Spp","Eucinostomus spp",89,8.83
"201605301005-070","Pigfish","Orthopristis chrysoptera",10,45.75
"201605301005-070","Pinfish","Lagodon rhomboides",92,305.31
"201605301005-070","Rainwater Killifish","Lucania parva",2,0.39
"201605301005-070","Sheepshead","Archosargus probatocephalus",7,3.68
"201605301005-070","Silver Perch","Bairdiella chrysoura",24,21.62
"201605301005-070","Spotted Seatrout","Cynoscion nebulosus",2,1.51
"201605301005-070","White Grunt","Haemulon plumierii",2,27.48
"201605301146-022","Dwarf Seahorse","Hippocampus zosterae",3,0.19
"201605301146-022","Fringed Filefish","Monacanthus ciliatus",1,0.23
"201605301146-022","Grunt Spp","Haemulon spp",1,0.1
"201605301146-022","Gulf Pipefish","Syngnathus scovelli",4,1.22
"201605301146-022","Gulf Toadfish","Opsanus beta",1,5.98
"201605301146-022","Mojarra Spp","Eucinostomus spp",92,27.33
"201605301146-022","Pinfish","Lagodon rhomboides",4,4.99
"201605301146-022","Rainwater Killifish","Lucania parva",3,1.21
"201605301146-022","Sheepshead","Archosargus probatocephalus",1,0.1
"201605301146-022","Silver Perch","Bairdiella chrysoura",17,11.01
"201605301146-022","Spotted Seatrout","Cynoscion nebulosus",2,0.72
"201605301204-023","Spotted Seatrout","Cynoscion nebulosus",1,0.24
"201605301222-024","Spotted Seatrout","Cynoscion nebulosus",1,0.25
"201605301334-111","Spotted Seatrout","Cynoscion nebulosus",1,0.42
"201605301402-123","Bluestriped Grunt","Haemulon sciurus",2,11.48
"201605301402-123","Dusky Pipefish","Syngnathus floridae",1,0.24
"201605301402-123","Mojarra Spp","Eucinostomus spp",82,14.3
"201605301402-123","Pinfish","Lagodon rhomboides",3,4.05
"201605301402-123","Rainwater Killifish","Lucania parva",4,0.31
"201605301402-123","Silver Perch","Bairdiella chrysoura",1,0.69
"201605301402-123","Spotted Seatrout","Cynoscion nebulosus",2,0.3
"201605301446-146","Florida Grassflat Crab","Neopanope packardii",1,0.84
"201605301446-146","Gulf Pipefish","Syngnathus scovelli",1,0.08
"201605301522-168","Dusky Pipefish","Syngnathus floridae",1,0.21
