"keyfield","sport_num","stom_spec","standard","total","wt_wstom","wt_wostom","blk_wt","blk_vol","cat","cat_wt","cat_vol","food_id","food_ord","food_fam","food_count","food_wt","food_tl","food_sl","food_cl"
"201609041834-070",59,"Cynoscion nebulosus",45.51,54.47,1.483,1.242,0.103,0.103,"Fish",0.103,0.15,"Lucania parva","Cyprinodontiformes","Fundulidae",1,0.039,NA,NA,NA
"201609041834-070",58,"Cynoscion nebulosus",26.32,31.54,0.222,0.19,0.008,0.008,"Fish",0.007,0.04,"UNID",NA,NA,1,0.007,NA,NA,NA
"201609041834-070",58,"Cynoscion nebulosus",26.32,31.54,0.222,0.19,0.008,0.008,"Arthropod",0.001,0.01,"UNID",NA,NA,1,0.001,NA,NA,NA
"201609041810-068",52,"Cynoscion nebulosus",55.82,67.97,2.978,2.859,0.039,0.039,"Fish",0.039,0.1,"Gerreidae spp","Perciformes","Gerreidae",1,0.039,NA,NA,NA
"201609050934-282",61,"Cynoscion nebulosus",48.02,57.79,2.115,1.93,0.062,0.062,"Crustacean",0.012,0.05,"Caridean spp","Decapoda",NA,1,0.012,NA,NA,NA
"201609050934-282",61,"Cynoscion nebulosus",48.02,57.79,2.115,1.93,0.062,0.062,"Fish",0.046,0.05,"UNID",NA,NA,1,0.046,NA,NA,NA
"201610081036-266",62,"Cynoscion nebulosus",34.01,42.06,0.753,0.656,0.037,0.037,"Arthropod",0.007,0.025,"UNID",NA,NA,5,0.005,NA,NA,NA
"201610081036-266",62,"Cynoscion nebulosus",34.01,42.06,0.753,0.656,0.037,0.037,"Misc",0.03,0.025,"UNID",NA,NA,1,0.013,NA,NA,NA
"201610081036-266",63,"Cynoscion nebulosus",36.44,42.73,0.839,0.767,0.006,0.006,"Misc",0.006,0.05,"UNID",NA,NA,1,0.006,NA,NA,NA
"201610101041-312",64,"Cynoscion nebulosus",59.94,73.02,3.83,3.267,0.356,0.356,"Fish",0.356,0.4,"UNID",NA,NA,1,0.356,NA,NA,NA
"201611091139-294",71,"Cynoscion nebulosus",45.98,57.77,2.316,2.077,0.111,0.111,"Crustacean",0.111,0.1,"Caridean spp","Decapoda",NA,11,0.096,NA,NA,NA
"201611091139-294",71,"Cynoscion nebulosus",45.98,57.77,2.316,2.077,0.111,0.111,"Crustacean",0.111,0.1,"Thor spp","Decapoda","Thoridae",1,0.015,NA,NA,NA
"201611091314-301",65,"Cynoscion nebulosus",78.25,95,9.463,9.032,0.048,0.048,"Crustacean",0.048,0.05,"UNID",NA,NA,5,0.048,NA,NA,NA
"201611091330-312",73,"Cynoscion nebulosus",33.88,41.82,0.658,0.615,0,0,NA,NA,NA,"Empty",NA,NA,NA,NA,NA,NA,NA
"201611101100-169",68,"Cynoscion nebulosus",68.14,84.52,6.378,6.038,0.146,0.146,"Crustacean",0.146,0.1,"Caridean spp","Decapoda",NA,7,0.068,NA,NA,NA
"201611101100-169",68,"Cynoscion nebulosus",68.14,84.52,6.378,6.038,0.146,0.146,"Crustacean",0.146,0.1,"Hippolyte zostericola","Decapoda","Hippolytidae",1,0.022,NA,NA,NA
"201611101100-169",68,"Cynoscion nebulosus",68.14,84.52,6.378,6.038,0.146,0.146,"Crustacean",0.146,0.1,"Thor spp","Decapoda","Thoridae",2,0.039,NA,NA,NA
"201611110905-280",70,"Cynoscion nebulosus",68.95,87.97,7.135,6.835,0.026,0.026,"Misc",0.026,0.05,"UNID",NA,NA,2,0.026,NA,NA,NA
"201611111345-265",67,"Cynoscion nebulosus",50.14,60.66,2.273,2.111,0.015,0.015,"Misc",0.015,0.05,"UNID",NA,NA,1,0.015,NA,NA,NA
"201611111345-265",69,"Cynoscion nebulosus",49.25,58.94,2.061,1.965,0.006,0.006,"Misc",0.006,0.05,"UNID",NA,NA,1,0.006,NA,NA,NA
"201611111413-279",66,"Cynoscion nebulosus",66.08,80,4.404,4.171,0,0,NA,NA,NA,"Empty",NA,NA,NA,NA,NA,NA,NA
"201611111325-266",72,"Cynoscion nebulosus",27.17,32.27,0.261,0.235,0,0,NA,NA,NA,"Empty",NA,NA,NA,NA,NA,NA,NA
"201705271503-266",46,"Cynoscion nebulosus",NA,NA,0.11,0.092,0.008,0.008,"Fish",0.008,0.1,"UNID",NA,NA,1,0.008,NA,NA,NA
"201705281502-168",45,"Cynoscion nebulosus",43.53,52.94,1.28,1.23,0,0,"Empty",NA,NA,"Empty",NA,NA,NA,NA,NA,NA,NA
"201706251350-122",47,"Cynoscion nebulosus",49.02,59.44,2.18,2.02,0.037,0.037,"Fish",0.037,0.2,"UNID",NA,NA,2,0.037,NA,NA,NA
"201706251530-169",44,"Cynoscion nebulosus",37.09,46.75,0.89,0.84,0,0,"Empty",NA,NA,"Empty",NA,NA,NA,NA,NA,NA,NA
"201706251510-168",53,"Cynoscion nebulosus",34.24,41.52,0.66,0.61,0,0,"Empty",NA,NA,"Empty",NA,NA,NA,NA,NA,NA,NA
"201706261334-279",48,"Cynoscion nebulosus",31.05,37.57,0.52,0.47,0.003,0.003,"Crustacean",0.003,0.05,"Caridean spp","Decapoda",NA,1,0.003,NA,NA,NA
"201706261421-266",50,"Cynoscion nebulosus",62.66,73.06,4.23,3.99,0.097,0.097,"Fish",0.097,0.15,"Lucania parva","Cyprinodontiformes","Fundulidae",1,0.097,18.83,15.12,NA
"201706261403-265",43,"Cynoscion nebulosus",25.41,30.41,0.29,0.26,0,0,"Empty",NA,NA,"Empty",NA,NA,NA,NA,NA,NA,NA
"201706261347-278",52,"Cynoscion nebulosus",20.12,24.4,0.14,0.13,0.003,0.003,"Misc",0.003,0,"UNID",NA,NA,1,0.003,NA,NA,NA
"201707160853-070",21,"Cynoscion nebulosus",33.65,42.77,0.53,0.5,0.005,0.005,"Crustacean",0.005,0.1,"UNID",NA,NA,3,0.005,NA,NA,NA
"201707161030-107",24,"Cynoscion nebulosus",36.95,44.99,0.79,0.68,0.021,0.021,"Crustacean",0.021,0.1,"Caridean spp","Decapoda",NA,3,0.021,NA,NA,NA
"201707161030-107",25,"Cynoscion nebulosus",43.17,54.01,1.11,1.01,0.01,0.01,"Misc",0.01,0.1,"UNID",NA,NA,1,0.01,NA,NA,NA
"201707160934-130",49,"Cynoscion nebulosus",35.85,45.56,0.72,0.65,0.01,0.01,"Crustacean",0.004,0.05,"Amphipod spp","Amphipoda",NA,1,0.004,NA,NA,NA
"201707160934-130",49,"Cynoscion nebulosus",35.85,45.56,0.72,0.65,0.01,0.01,"Misc",0.006,0.05,"UNID",NA,NA,1,0.006,NA,NA,NA
"201707161409-135",23,"Cynoscion nebulosus",24.49,29.55,0.17,0.17,0,0,"Empty",NA,NA,"Empty",NA,NA,NA,NA,NA,NA,NA
"201707161518-168",54,"Cynoscion nebulosus",48.54,59.99,1.64,1.58,0,0,"Empty",NA,NA,"Empty",NA,NA,NA,NA,NA,NA,NA
"201707161518-168",55,"Cynoscion nebulosus",49.36,60.48,1.71,1.67,0.007,0.007,"Fish",0.007,0.1,"UNID",NA,NA,1,0.007,NA,NA,NA
"201707161518-168",56,"Cynoscion nebulosus",33.36,41.12,0.5,0.49,0.004,0.004,"Fish",0.004,0.05,"UNID",NA,NA,1,0.004,NA,NA,NA
"201708121049-267",60,"Cynoscion nebulosus",33.23,40.79,0.55,0.5,0,0,"Empty",NA,NA,"Empty",NA,NA,NA,NA,NA,NA,NA
"201708121049-267",61,"Cynoscion nebulosus",31.46,39.1,0.56,0.53,0,0,"Empty",NA,NA,"Empty",NA,NA,NA,NA,NA,NA,NA
"201708121049-267",62,"Cynoscion nebulosus",36.07,45.42,0.84,0.76,0.007,0.007,"Crustacean",0.007,0.1,"UNID",NA,NA,1,0.007,NA,NA,NA
"201708121049-267",63,"Cynoscion nebulosus",33.86,41.02,0.75,0.65,0.019,0.019,"Crustacean",0.019,0.1,"UNID",NA,NA,2,0.019,NA,NA,NA
"201708121525-266",51,"Cynoscion nebulosus",26.23,33.26,0.18,0.15,0.004,0.004,"Misc",0.004,0.05,"UNID",NA,NA,1,0.004,NA,NA,NA
"201708131056-070",65,"Cynoscion nebulosus",21.43,27.21,0.14,0.12,0.003,0.003,"Crustacean",0.003,0.05,"Empty",NA,NA,1,0.003,NA,NA,NA
"201708131056-070",66,"Cynoscion nebulosus",24.74,29.99,0.18,0.16,0,0,"Empty",NA,NA,"Empty",NA,NA,NA,NA,NA,NA,NA
"201708131138-130",64,"Cynoscion nebulosus",19.52,22.41,0.1,0.08,0.014,0.014,"Fish",0.014,0.1,"Eucinostomus spp","Perciformes","Gerreidae",1,0.014,12.05,9.97,NA
"201708131527-146",30,"Cynoscion nebulosus",41.14,49.71,1.13,1.04,0.006,0.006,"Misc",0.006,0.05,"UNID",NA,NA,1,0.006,NA,NA,NA
"201708131527-146",31,"Cynoscion nebulosus",29.91,36.86,0.45,0.41,0.002,0.002,"Fish",0.002,0.05,"UNID",NA,NA,1,0.002,NA,NA,NA
"201708131613-168",135,"Cynoscion nebulosus",18.23,21.78,0.067,0.065,0,0,"Empty",NA,NA,"Empty",NA,NA,NA,NA,NA,NA,NA
"201708131613-168",133,"Cynoscion nebulosus",20.87,25.56,0.13,0.13,0,0,"Empty",NA,NA,"Empty",NA,NA,NA,NA,NA,NA,NA
"201708131613-168",58,"Cynoscion nebulosus",68.55,76.12,4.87,4.49,0.016,0.016,"Misc",0.016,0.1,"UNID",NA,NA,1,0.016,NA,NA,NA
"201708131613-168",134,"Cynoscion nebulosus",17.94,21.27,0.083,0.075,0.001,0.001,"Misc",0.001,0.05,"UNID",NA,NA,1,0.001,NA,NA,NA
"201708131558-169",57,"Cynoscion nebulosus",68.89,75.09,4.78,4.33,0.318,0.318,"Fish",0.248,0.3,"Lucania parva","Cyprinodontiformes","Fundulidae",1,0.248,NA,20.94,NA
"201708150852-237",36,"Cynoscion nebulosus",32.66,39.74,0.46,0.39,0.007,0.007,"Crustacean",0.007,0.05,"Amphipod spp","Amphipoda",NA,6,0.007,NA,NA,NA
"201708150852-237",37,"Cynoscion nebulosus",28.2,34.48,0.31,0.28,0.007,0.007,"Crustacean",0.007,0.1,"Caridean spp","Decapoda",NA,7,0.007,NA,NA,NA
"201708150852-237",35,"Cynoscion nebulosus",31.03,37.94,0.42,0.39,0.002,0.002,"Misc",0.002,0.05,"Empty",NA,NA,1,0.002,NA,NA,NA
"201709040911-070",88,"Cynoscion nebulosus",19.52,23.14,0.1,0.084,0.002,0.002,"Crustacean",0.002,0.05,"Caridean spp","Decapoda",NA,1,0.002,NA,NA,NA
"201709040911-070",38,"Cynoscion nebulosus",28.67,34.35,0.34,0.3,0,0,"Empty",NA,NA,"Empty",NA,NA,NA,NA,NA,NA,NA
"201709040911-070",40,"Cynoscion nebulosus",25.04,31.86,0.2,0.18,0,0,"Empty",NA,NA,"Empty",NA,NA,NA,NA,NA,NA,NA
"201709040911-070",41,"Cynoscion nebulosus",22.27,28.1,0.16,0.16,0,0,"Empty",NA,NA,"Empty",NA,NA,NA,NA,NA,NA,NA
"201709040911-070",89,"Cynoscion nebulosus",16.44,19.23,0.052,0.046,0,0,"Empty",NA,NA,"Empty",NA,NA,NA,NA,NA,NA,NA
"201709040911-070",91,"Cynoscion nebulosus",13.26,15.05,0.029,0.025,0,0,"Empty",NA,NA,"Empty",NA,NA,NA,NA,NA,NA,NA
"201709040911-070",92,"Cynoscion nebulosus",14.43,17.16,0.031,0.027,0,0,"Empty",NA,NA,"Empty",NA,NA,NA,NA,NA,NA,NA
"201709040911-070",39,"Cynoscion nebulosus",24.54,30.67,0.23,0.19,0.004,0.004,"Misc",0.004,0.05,"UNID",NA,NA,1,0.004,NA,NA,NA
"201709040911-070",42,"Cynoscion nebulosus",25.85,30.4,0.22,0.21,0.001,0.001,"Misc",0.001,0.05,"UNID",NA,NA,1,0.001,NA,NA,NA
"201709040911-070",87,"Cynoscion nebulosus",20.64,25.08,0.1,0.09,0.001,0.001,"Misc",0.001,0.05,"UNID",NA,NA,1,0.001,NA,NA,NA
"201709040911-070",90,"Cynoscion nebulosus",19.47,24.78,0.1,0.08,0.001,0.001,"Misc",0.001,0.05,"UNID",NA,NA,1,0.001,NA,NA,NA
"201709040911-070",129,"Cynoscion nebulosus",50.67,62.11,1.82,1.74,0.003,0.003,"Misc",0.003,0.05,"UNID",NA,NA,1,0.003,NA,NA,NA
"201709041007-117",67,"Cynoscion nebulosus",30.42,37.16,0.41,0.38,0.005,0.005,"Fish",0.0054,0.05,"UNID",NA,NA,1,0.005,NA,NA,NA
"201709041236-123",118,"Cynoscion nebulosus",27.7,33.92,0.34,0.3,0.008,0.008,"Crustacean",0.008,0.1,"Empty",NA,NA,2,0.008,NA,NA,NA
"201709041336-134",33,"Cynoscion nebulosus",34.83,43.22,0.72,0.65,0,0,"Empty",NA,NA,"Empty",NA,NA,NA,NA,NA,NA,NA
"201709041336-134",34,"Cynoscion nebulosus",25.25,31.28,0.28,0.25,0.013,0.013,"Misc",0.013,0.1,"UNID",NA,NA,1,0.013,NA,NA,NA
"201709041352-146",105,"Cynoscion nebulosus",24.83,30.42,0.21,0.19,0.001,0.001,"Misc",0.001,0.05,"UNID",NA,NA,1,0.001,NA,NA,NA
"201709041453-169",82,"Cynoscion nebulosus",23.01,26.4,0.18,0.17,0,0,"Empty",NA,NA,"Empty",NA,NA,NA,NA,NA,NA,NA
"201709041522-175",117,"Cynoscion nebulosus",45.23,55.55,1.56,1.46,0,0,"Empty",NA,NA,"Empty",NA,NA,NA,NA,NA,NA,NA
"201709050947-267",22,"Cynoscion nebulosus",60.51,73.36,3.22,3.05,0,0,"Empty",NA,NA,"Empty",NA,NA,NA,NA,NA,NA,NA
"201709051126-237",19,"Cynoscion nebulosus",25.48,29.71,0.29,0.24,0.041,0.041,"Crustacean",0.041,0.1,"Amphipod spp","Amphipoda",NA,2,0.02,NA,NA,NA
"201709051126-237",20,"Cynoscion nebulosus",19.36,23.46,0.11,0.1,0.001,0.001,"Crustacean",0.001,0.05,"Amphipod spp","Amphipoda",NA,1,0.001,NA,NA,NA
"201709051126-237",19,"Cynoscion nebulosus",25.48,29.71,0.29,0.24,0.041,0.041,"Crustacean",0.041,0.1,"Crustacean spp",NA,NA,1,0.021,NA,NA,NA
"201709051126-237",18,"Cynoscion nebulosus",35.74,44.41,0.81,0.76,0.007,0.007,"Crustacean",0.007,0.1,"Empty",NA,NA,3,0.007,NA,NA,NA
"201709051104-266",121,"Cynoscion nebulosus",20.9,25.08,0.11,0.1,0.004,0.004,"Crustacean",0.004,0.1,"Caridean spp","Decapoda",NA,1,0.004,NA,NA,NA
"201709051104-266",84,"Cynoscion nebulosus",20.45,25.05,0.1,0.09,0,0,"Empty",NA,NA,"Empty",NA,NA,NA,NA,NA,NA,NA
"201710061333-621",94,"Cynoscion nebulosus",15.22,18.45,0.03,0.022,0,0,"Empty",NA,NA,"Empty",NA,NA,NA,NA,NA,NA,NA
"201710061333-621",95,"Cynoscion nebulosus",19.64,23.13,0.11,0.1,0,0,"Empty",NA,NA,"Empty",NA,NA,NA,NA,NA,NA,NA
"201710061317-618",128,"Cynoscion nebulosus",15.82,19.36,0.058,0.05,0,0,"Empty",NA,NA,"Empty",NA,NA,NA,NA,NA,NA,NA
"201710061317-618",127,"Cynoscion nebulosus",18.08,21.89,0.097,0.088,0,0,"Empty",NA,NA,"Empty",NA,NA,NA,NA,NA,NA,NA
"201710071500-303",125,"Cynoscion nebulosus",21.43,25.95,0.13,0.12,0,0,"Empty",NA,NA,"Empty",NA,NA,NA,NA,NA,NA,NA
"201710071525-301",126,"Cynoscion nebulosus",18.47,21.45,0.072,0.067,0,0,"Empty",NA,NA,"Empty",NA,NA,NA,NA,NA,NA,NA
"201710081026-156",132,"Cynoscion nebulosus",26.43,32.67,0.32,0.3,0.003,0.003,"Misc",0.003,0.05,"UNID",NA,NA,1,0.003,NA,NA,NA
"201710081010-070",119,"Cynoscion nebulosus",25.69,31.53,0.26,0.24,0,0,"Empty",NA,NA,"Empty",NA,NA,NA,NA,NA,NA,NA
"201710081010-070",120,"Cynoscion nebulosus",26.5,32.11,0.29,0.28,0.001,0.001,"Misc",0.001,0.05,"UNID",NA,NA,1,0.001,NA,NA,NA
"201710081245-123",122,"Cynoscion nebulosus",25.1,30.24,0.23,0.2,0.001,0.001,"Misc",0.001,0.05,"UNID",NA,NA,1,0.001,NA,NA,NA
"201710081351-146",106,"Cynoscion nebulosus",17.09,21.04,0.081,0.066,0,0,"Empty",NA,NA,"Empty",NA,NA,NA,NA,NA,NA,NA
"201710081447-168",108,"Cynoscion nebulosus",34.85,42.35,0.66,0.61,0.002,0.002,"Crustacean",0.002,0.05,"Caridean spp","Decapoda",NA,2,0.002,NA,NA,NA
"201710081447-168",111,"Cynoscion nebulosus",21.6,25.21,0.15,0.13,0,0,"Empty",NA,NA,"Empty",NA,NA,NA,NA,NA,NA,NA
"201710081447-168",110,"Cynoscion nebulosus",19.62,24.26,0.1,0.1,0,0,"Empty",NA,NA,"Empty",NA,NA,NA,NA,NA,NA,NA
"201710081447-168",109,"Cynoscion nebulosus",34.95,43.57,0.7,0.65,0,0,"Empty",NA,NA,"Empty",NA,NA,NA,NA,NA,NA,NA
"201710081530-173",124,"Cynoscion nebulosus",24.46,28.35,0.28,0.24,0,0,"Empty",NA,NA,"Empty",NA,NA,NA,NA,NA,NA,NA
"201710081530-173",123,"Cynoscion nebulosus",28.15,33.33,0.43,0.39,0,0,"Empty",NA,NA,"Empty",NA,NA,NA,NA,NA,NA,NA
"201710081411-159",131,"Cynoscion nebulosus",19.14,22.32,0.084,0.082,0,0,"Empty",NA,NA,"Empty",NA,NA,NA,NA,NA,NA,NA
"201710090933-280",77,"Cynoscion nebulosus",20.69,24.8,0.13,0.12,0.001,0.001,"Misc",0.001,0.05,"UNID",NA,NA,1,0.001,NA,NA,NA
"201710091022-265",99,"Cynoscion nebulosus",23.52,27.31,0.19,0.17,0,0,"Empty",NA,NA,"Empty",NA,NA,NA,NA,NA,NA,NA
"201710091022-265",98,"Cynoscion nebulosus",20.88,23.84,0.13,0.11,0.001,0.001,"Misc",0.001,0.05,"UNID",NA,NA,1,0.001,NA,NA,NA
"201710091022-265",100,"Cynoscion nebulosus",23.18,26.84,0.21,0.18,0.012,0.012,"Fish",0.003,0.1,"UNID",NA,NA,1,0.003,NA,NA,NA
"201710091115-253",107,"Cynoscion nebulosus",18.32,22.34,0.086,0.073,0,0,"Empty",NA,NA,"Empty",NA,NA,NA,NA,NA,NA,NA
"201710091216-224",101,"Cynoscion nebulosus",26.66,32.01,0.28,0.26,0,0,"Empty",NA,NA,"Empty",NA,NA,NA,NA,NA,NA,NA
"201710091140-240",78,"Cynoscion nebulosus",25.52,30.46,0.28,0.26,0.004,0.004,"Crustacean",0.004,0.1,"Caridean spp","Decapoda",NA,1,0.004,NA,NA,NA
"201710091140-240",79,"Cynoscion nebulosus",21.49,25.65,0.16,0.14,0.002,0.002,"Misc",0.002,0.05,"UNID",NA,NA,1,0.002,NA,NA,NA
"201710091150-225",130,"Cynoscion nebulosus",22.89,26.46,0.19,0.17,0.001,0.001,"Crustacean",0.001,0.05,"Caridean spp","Decapoda",NA,1,0.001,NA,NA,NA
"201710091305-226",71,"Cynoscion nebulosus",21.28,25.1,0.12,0.11,0.001,0.001,"Misc",0.001,0.05,"UNID",NA,NA,1,0.001,NA,NA,NA
"201710091324-227",104,"Cynoscion nebulosus",20.21,23.85,0.13,0.11,0,0,"Empty",NA,NA,"Empty",NA,NA,NA,NA,NA,NA,NA
"201710091324-227",103,"Cynoscion nebulosus",21.95,25.67,0.16,0.15,0,0,"Empty",NA,NA,"Empty",NA,NA,NA,NA,NA,NA,NA
"201711101352-622",115,"Cynoscion nebulosus",48.01,58.95,1.81,1.77,0,0,"Empty",NA,NA,"Empty",NA,NA,NA,NA,NA,NA,NA
"201711101352-622",114,"Cynoscion nebulosus",58.94,71.9,2.82,2.71,0,0,"Empty",NA,NA,"Empty",NA,NA,NA,NA,NA,NA,NA
"201711101352-622",113,"Cynoscion nebulosus",NA,NA,10.84,10.36,0,0,"Empty",NA,NA,"Empty",NA,NA,NA,NA,NA,NA,NA
"201711120941-067",27,"Cynoscion nebulosus",59.51,71.86,3.55,3.47,0.007,0.007,"Crustacean",0.002,0.04,"Amphipod spp","Amphipoda",NA,2,0.002,NA,NA,NA
"201711120941-067",28,"Cynoscion nebulosus",57.24,67.75,3.19,3.12,0,0,"Empty",NA,NA,"Empty",NA,NA,NA,NA,NA,NA,NA
"201711120941-067",27,"Cynoscion nebulosus",59.51,71.86,3.55,3.47,0.007,0.007,"Misc",0.005,0.06,"SEAGRASS",NA,NA,1,0.001,NA,NA,NA
"201711120941-067",27,"Cynoscion nebulosus",59.51,71.86,3.55,3.47,0.007,0.007,"Misc",0.005,0.06,"UNID",NA,NA,2,0.004,NA,NA,NA
"201711120941-067",29,"Cynoscion nebulosus",61.14,69.19,3.75,3.64,0.018,0.018,"Misc",0.018,0.1,"UNID",NA,NA,1,0.018,NA,NA,NA
"201711121656-239",70,"Cynoscion nebulosus",46.34,58.31,1.72,1.54,0,0,"Empty",NA,NA,"Empty",NA,NA,NA,NA,NA,NA,NA
"201711111110-304",96,"Cynoscion nebulosus",50.09,61.26,2.03,1.89,0.005,0.005,"Misc",0.005,0.1,"UNID",NA,NA,1,0.005,NA,NA,NA
"201711111020-323",69,"Cynoscion nebulosus",46.46,56.42,1.46,1.36,0,0,"Empty",NA,NA,"Empty",NA,NA,NA,NA,NA,NA,NA
"201711111020-323",68,"Cynoscion nebulosus",54.21,65.23,2.73,2.53,0.021,0.021,"Misc",0.021,0.1,"UNID",NA,NA,1,0.021,NA,NA,NA
"201711121642-240",93,"Cynoscion nebulosus",49.28,60.35,1.81,1.68,0,0,"Empty",NA,NA,"Empty",NA,NA,NA,NA,NA,NA,NA
"201711111429-271",80,"Cynoscion nebulosus",57.5,69.21,3.76,3.21,0.184,0.184,"Fish",0.184,0.3,"Anchoa spp","Clupeiformes","Engraulidae",1,0.055,NA,NA,NA
"201711111429-271",80,"Cynoscion nebulosus",57.5,69.21,3.76,3.21,0.184,0.184,"Fish",0.184,0.3,"Anchoa spp","Clupeiformes","Engraulidae",1,0.129,26.62,22.66,NA
"201711111429-271",81,"Cynoscion nebulosus",20.01,24.36,0.12,0.11,0.001,0.001,"Misc",0.001,0.05,"UNID",NA,NA,1,0.001,NA,NA,NA
"201711121327-145",102,"Cynoscion nebulosus",52.16,65.67,2.33,2.23,0.013,0.013,"Crustacean",0.013,0.2,"Caridean spp","Decapoda",NA,1,0.003,NA,NA,NA
"201711121327-145",102,"Cynoscion nebulosus",52.16,65.67,2.33,2.23,0.013,0.013,"Crustacean",0.013,0.2,"Urocaris longicaudata","Decapoda","Palaemonidae",1,0.01,NA,NA,NA
"201711121533-224",72,"Cynoscion nebulosus",20.78,25.78,0.14,0.12,0.002,0.002,"Crustacean",0.002,0.05,"UNID",NA,NA,1,0.002,NA,NA,NA
"201711111308-281",32,"Cynoscion nebulosus",52.4,61.31,2.46,2.36,0,0,"Empty",NA,NA,"Empty",NA,NA,NA,NA,NA,NA,NA
"201711111352-283",83,"Cynoscion nebulosus",42.81,51.63,1.33,1.02,0.184,0.184,"Fish",0.184,0.3,"Anchoa spp","Clupeiformes","Engraulidae",1,0.184,32.74,28.64,NA
"201711131137-237",74,"Cynoscion nebulosus",27.53,32.93,0.34,0.32,0.001,0.001,"Crustacean",0.001,0.05,"Caridean spp","Decapoda",NA,1,0.001,NA,NA,NA
"201711131137-237",85,"Cynoscion nebulosus",67.3,80.05,6.28,5.87,0.136,0.136,"Crustacean",0.028,0.1,"Caridean spp","Decapoda",NA,2,0.028,NA,NA,NA
"201711131137-237",86,"Cynoscion nebulosus",49.29,60.88,1.92,1.85,0.015,0.015,"Crustacean",0.015,0.1,"Caridean spp","Decapoda",NA,1,0.015,NA,NA,NA
"201711131137-237",75,"Cynoscion nebulosus",30.18,38.16,0.41,0.39,0,0,"Empty",NA,NA,"Empty",NA,NA,NA,NA,NA,NA,NA
"201711131137-237",73,"Cynoscion nebulosus",58.96,71.12,3.02,2.83,0.003,0.003,"Crustacean",0.003,0.1,"UNID",NA,NA,1,0.003,NA,NA,NA
"201711131137-237",76,"Cynoscion nebulosus",25.24,30.28,0.26,0.22,0.001,0.001,"Crustacean",0.001,0.05,"UNID",NA,NA,1,0.001,NA,NA,NA
"201711131137-237",85,"Cynoscion nebulosus",67.3,80.05,6.28,5.87,0.136,0.136,"Misc",0.108,0.2,"UNID",NA,NA,1,0.108,NA,NA,NA
"201711131035-279",112,"Cynoscion nebulosus",23.14,26.63,0.19,0.17,0.001,0.001,"Misc",0.001,0.05,"UNID",NA,NA,1,0.001,NA,NA,NA
"201711131115-278",97,"Cynoscion nebulosus",64.16,77.91,4.33,4.09,0.032,0.032,"Fish",0.032,0.1,"UNID",NA,NA,1,0.032,NA,NA,NA
"201711131206-174",116,"Cynoscion nebulosus",23.36,28.66,0.18,0.16,0,0,"Empty",NA,NA,"Empty",NA,NA,NA,NA,NA,NA,NA
"201712101101-239",9,"Cynoscion nebulosus",40.53,50.58,1.25,1.12,0.052,0.052,"Crustacean",0.035,0.1,"Caridean spp","Decapoda",NA,3,0.035,NA,NA,NA
"201712101101-239",9,"Cynoscion nebulosus",40.53,50.58,1.25,1.12,0.052,0.052,"Fish",0.017,0.1,"UNID",NA,NA,1,0.017,NA,NA,NA
"201712101146-241",10,"Cynoscion nebulosus",53.97,66.19,2.17,2.13,0.006,0.006,"Crustacean",0.006,0.005,"UNID",NA,NA,1,0.006,NA,NA,NA
"201712100945-266",11,"Cynoscion nebulosus",48.66,58.66,2.12,1.95,0.014,0.014,"Crustacean",0.014,0.1,"Caridean spp","Decapoda",NA,5,0.014,NA,NA,NA
"201712101436-294",12,"Cynoscion nebulosus",64,76.27,4.56,4.25,0,0,"Empty",NA,NA,"Empty",NA,NA,NA,NA,NA,NA,NA
"201712101015-267",17,"Cynoscion nebulosus",80.83,94.2,7.55,7.29,0.01,0.01,"Crustacean",0.01,0.05,"UNID",NA,NA,1,0.01,NA,NA,NA
"201712101533-292",7,"Cynoscion nebulosus",62.28,71.06,3.43,3.29,0,0,"Empty",NA,NA,"Empty",NA,NA,NA,NA,NA,NA,NA
"201712111300-619",4,"Cynoscion nebulosus",65.97,82.27,4.73,4.33,0.044,0.044,"Crustacean",0.044,0.3,"Caridean spp","Decapoda",NA,22,0.044,NA,NA,NA
"201712111035-303",13,"Cynoscion nebulosus",52.77,61.68,2.34,2.26,0.014,0.014,"Crustacean",0.014,0.1,"Amphipod spp","Amphipoda",NA,8,0.012,NA,NA,NA
"201712111035-303",13,"Cynoscion nebulosus",52.77,61.68,2.34,2.26,0.014,0.014,"Crustacean",0.014,0.1,"Caridean spp","Decapoda",NA,2,0.002,NA,NA,NA
"201712111035-303",14,"Cynoscion nebulosus",65.6,79.33,4.54,4.2,0.036,0.036,"Crustacean",0.026,0.05,"Caridean spp","Decapoda",NA,26,0.026,NA,NA,NA
"201712111035-303",15,"Cynoscion nebulosus",67.08,80.84,4.73,4.52,0.042,0.042,"Crustacean",0.042,0.1,"Caridean spp","Decapoda",NA,22,0.042,NA,NA,NA
"201712111035-303",14,"Cynoscion nebulosus",65.6,79.33,4.54,4.2,0.036,0.036,"Fish",0.01,0.05,"UNID",NA,NA,1,0.01,NA,NA,NA
"201712111150-323",16,"Cynoscion nebulosus",73.33,89.96,6.03,5.5,0.21,0.21,"Fish",0.21,0.3,"Anchoa spp","Clupeiformes","Engraulidae",1,0.21,26.96,NA,NA
"201712111630-168",3,"Cynoscion nebulosus",80.17,95.58,8.74,8.09,0.13,0.13,"Crustacean",0.023,0.2,"Caridean spp","Decapoda",NA,2,0.006,NA,NA,NA
