"keyfield","year","month","day","time","station","quadrant","lat","long","date","zone","waypoint_start","waypoint_end","tow_time","tow_area","tow_dist_rec","tow_dist_calc","sea_state","atmo","secchi","crew","depth_ft","depth_in","depth_cm","sal","temp","do_sat","do_mgl","chla","cass_spp","cteno_spp","notes"
"200909141142-242",2009,9,14,"11:42",242,"N",25.062,-80.804,"9/14/2009","Rankin",NA,NA,NA,468.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.9,30.3,NA,NA,NA,NA,NA,NA
"200909141401-268",2009,9,14,"14:01",268,"E",25.09653,-80.78766,"9/14/2009","Whipray",NA,NA,NA,512.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.3,30.3,NA,NA,NA,NA,NA,NA
"200909141344-256",2009,9,14,"13:44",256,"E",25.074,-80.787,"9/14/2009","Whipray",NA,NA,NA,533.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.4,30.5,NA,NA,NA,NA,NA,NA
"200909141258-243",2009,9,14,"12:58",243,"S",25.049,-80.792,"9/14/2009","Rankin",NA,NA,NA,464.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.2,30.7,NA,NA,NA,NA,NA,NA
"200909141221-228",2009,9,14,"12:21",228,"W",25.038,-80.806,"9/14/2009","Rankin",NA,NA,NA,499.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.3,30.8,NA,NA,NA,NA,NA,NA
"200909141419-269",2009,9,14,"14:19",269,"W",25.083,-80.776,"9/14/2009","Whipray",NA,NA,NA,399,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.9,30.8,NA,NA,NA,NA,NA,NA
"200909141314-244",2009,9,14,"13:14",244,"E",25.036,-80.78,"9/14/2009","Rankin",NA,NA,NA,514.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.4,30.9,NA,NA,NA,NA,NA,NA
"200909141437-291",2009,9,14,"14:37",291,"S",25.118,-80.76,"9/14/2009","Whipray",NA,NA,NA,428.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.2,31,NA,NA,NA,NA,NA,NA
"200909141328-258",2009,9,14,"13:28",258,"S",25.047,-80.766,"9/14/2009","Whipray",NA,NA,NA,394.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.2,31.2,NA,NA,NA,NA,NA,NA
"200909141500-292",2009,9,14,"15:00",292,"S",25.105,-80.748,"9/14/2009","Whipray",NA,NA,NA,438.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.2,31.8,NA,NA,NA,NA,NA,NA
"200909150902-303",2009,9,15,"9:02",303,"S",25.103,-80.722,"9/15/2009","Crocodile",NA,NA,NA,514.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.3,29.5,NA,NA,NA,NA,NA,NA
"200909150810-304",2009,9,15,"8:10",304,"N",25.088,-80.713,"9/15/2009","Crocodile",NA,NA,NA,474.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.9,29.6,NA,NA,NA,NA,NA,NA
"20090915NA-315",2009,9,15,NA,315,"W",25.101,-80.696,"9/15/2009","Crocodile",NA,NA,NA,539.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,29.7,NA,NA,NA,NA,NA,NA
"200909150842-314",2009,9,15,"8:42",314,"N",25.114,-80.708,"9/15/2009","Crocodile",NA,NA,NA,541.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.5,29.8,NA,NA,NA,NA,NA,NA
"200909151058-313",2009,9,15,"10:58",313,"N",25.126,-80.72,"9/15/2009","Crocodile",NA,NA,NA,491.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.3,30.1,NA,NA,NA,NA,NA,NA
"200909151020-609",2009,9,15,"10:20",609,"S",25.141,-80.757,"9/15/2009","Whipray",NA,NA,NA,436.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.9,30.1,NA,NA,NA,NA,NA,NA
"200909151300-619",2009,9,15,"13:00",619,"N",25.149,-80.668,"9/15/2009","Crocodile",NA,NA,NA,493.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,30.1,NA,NA,NA,NA,NA,NA
"200909150920-302",2009,9,15,"9:20",302,"W",25.116,-80.734,"9/15/2009","Whipray",NA,NA,NA,489.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,30.2,NA,NA,NA,NA,NA,NA
"200909150944-301",2009,9,15,"9:44",301,"E",25.129,-80.745,"9/15/2009","Whipray",NA,NA,NA,520.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.3,30.3,NA,NA,NA,NA,NA,NA
"200909151043-312",2009,9,15,"10:43",312,"S",25.139,-80.733,"9/15/2009","Whipray",NA,NA,NA,455.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.7,30.3,NA,NA,NA,NA,NA,NA
"200909151144-616",2009,9,15,"11:44",616,"E",25.148,-80.691,"9/15/2009","Crocodile",NA,NA,NA,451.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.7,30.3,NA,NA,NA,NA,NA,NA
"200909151122-323",2009,9,15,"11:22",323,"S",25.137,-80.705,"9/15/2009","Crocodile",NA,NA,NA,487.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.5,30.4,NA,NA,NA,NA,NA,NA
"200909151201-618",2009,9,15,"12:01",618,"E",25.159,-80.677,"9/15/2009","Crocodile",NA,NA,NA,409.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.3,30.5,NA,NA,NA,NA,NA,NA
"200909151003-290",2009,9,15,"10:03",290,"N",25.131,-80.771,"9/15/2009","Whipray",NA,NA,NA,428.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.1,30.6,NA,NA,NA,NA,NA,NA
"200909151315-401",2009,9,15,"13:15",401,"W",25.135,-80.68,"9/15/2009","Crocodile",NA,NA,NA,480.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,30.8,NA,NA,NA,NA,NA,NA
"200909151346-403",2009,9,15,"13:46",403,"N",25.11,-80.656,"9/15/2009","Crocodile",NA,NA,NA,535.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.2,30.8,NA,NA,NA,NA,NA,NA
"200909151232-621",2009,9,15,"12:32",621,"W",25.167,-80.664,"9/15/2009","Crocodile",NA,NA,NA,510.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.2,31,NA,NA,NA,NA,NA,NA
"200909151329-402",2009,9,15,"13:29",402,"W",25.122,-80.668,"9/15/2009","Crocodile",NA,NA,NA,499.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.6,31.1,NA,NA,NA,NA,NA,NA
"200909151247-622",2009,9,15,"12:47",622,"W",25.157,-80.651,"9/15/2009","Crocodile",NA,NA,NA,537.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.8,31.1,NA,NA,NA,NA,NA,NA
"200909151402-404",2009,9,15,"14:02",404,"W",25.099,-80.642,"9/15/2009","Crocodile",NA,NA,NA,512.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.3,31.6,NA,NA,NA,NA,NA,NA
"200910101440-314",2009,10,10,"14:40",314,"S",25.114,-80.708,"10/10/2009","Crocodile",NA,NA,NA,436.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.4,28.8,NA,NA,NA,NA,NA,NA
"200910101013-324",2009,10,10,"10:13",324,"E",25.124,-80.694,"10/10/2009","Crocodile",NA,NA,NA,445.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.2,29.6,NA,NA,NA,NA,NA,NA
"200910101033-616",2009,10,10,"10:33",616,"N",25.148,-80.691,"10/10/2009","Crocodile",NA,NA,NA,411.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.2,29.7,NA,NA,NA,NA,NA,NA
"200910100937-326",2009,10,10,"9:37",326,"S",25.099,-80.67,"10/10/2009","Crocodile",NA,NA,NA,447.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.4,29.9,NA,NA,NA,NA,NA,NA
"200910101032-618",2009,10,10,"10:32",618,"W",25.159,-80.677,"10/10/2009","Crocodile",NA,NA,NA,512.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.5,29.9,NA,NA,NA,NA,NA,NA
"200910101109-621",2009,10,10,"11:09",621,"S",25.167,-80.664,"10/10/2009","Crocodile",NA,NA,NA,453.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.2,29.9,NA,NA,NA,NA,NA,NA
"200910100957-325",2009,10,10,"9:57",325,"S",25.112,-80.682,"10/10/2009","Crocodile",NA,NA,NA,436.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.6,30,NA,NA,NA,NA,NA,NA
"200910101129-622",2009,10,10,"11:29",622,"W",25.157,-80.651,"10/10/2009","Crocodile",NA,NA,NA,422.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.6,30,NA,NA,NA,NA,NA,NA
"200910101159-401",2009,10,10,"11:59",401,"S",25.135,-80.68,"10/10/2009","Crocodile",NA,NA,NA,466.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.2,30.1,NA,NA,NA,NA,NA,NA
"200910101144-619",2009,10,10,"11:44",619,"W",25.149,-80.668,"10/10/2009","Crocodile",NA,NA,NA,394.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.2,30.1,NA,NA,NA,NA,NA,NA
"200910101215-402",2009,10,10,"12:15",402,"N",25.122,-80.668,"10/10/2009","Crocodile",NA,NA,NA,399,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,30.2,NA,NA,NA,NA,NA,NA
"200910101318-407",2009,10,10,"13:18",407,"W",25.133,-80.654,"10/10/2009","Crocodile",NA,NA,NA,449.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.8,30.3,NA,NA,NA,NA,NA,NA
"200910101231-403",2009,10,10,"12:31",403,"W",25.11,-80.656,"10/10/2009","Crocodile",NA,NA,NA,621.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.1,30.6,NA,NA,NA,NA,NA,NA
"200910101247-408",2009,10,10,"12:47",408,"N",25.12,-80.642,"10/10/2009","Crocodile",NA,NA,NA,451.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.7,30.7,NA,NA,NA,NA,NA,NA
"200910101401-304",2009,10,10,"14:01",304,"N",25.088,-80.713,"10/10/2009","Crocodile",NA,NA,NA,411.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.3,30.9,NA,NA,NA,NA,NA,NA
"200910101338-404",2009,10,10,"13:38",404,"W",25.099,-80.642,"10/10/2009","Crocodile",NA,NA,NA,380.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.2,30.9,NA,NA,NA,NA,NA,NA
"200910101516-313",2009,10,10,"15:16",313,"S",25.126,-80.72,"10/10/2009","Crocodile",NA,NA,NA,399,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.9,31.2,NA,NA,NA,NA,NA,NA
"200910101533-303",2009,10,10,"15:33",303,"S",25.103,-80.722,"10/10/2009","Crocodile",NA,NA,NA,453.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.7,31.3,NA,NA,NA,NA,NA,NA
"200910101420-315",2009,10,10,"14:20",315,"W",25.101,-80.696,"10/10/2009","Crocodile",NA,NA,NA,403.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.3,31.3,NA,NA,NA,NA,NA,NA
"200910101501-323",2009,10,10,"15:01",323,"S",25.137,-80.705,"10/10/2009","Crocodile",NA,NA,NA,445.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.8,31.6,NA,NA,NA,NA,NA,NA
"200910110924-292",2009,10,11,"9:24",292,"E",25.105,-80.748,"10/11/2009","Whipray",NA,NA,NA,485.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,29.2,NA,NA,NA,NA,NA,NA
"200910110928-022",2009,10,11,"9:28",22,"E",25.056,-81.039,"10/11/2009","West",NA,NA,NA,489.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.5,29.6,NA,NA,NA,NA,NA,NA
"200910111107-133",2009,10,11,"11:07",133,"E",25.061,-80.947,"10/11/2009","West",NA,NA,NA,346.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.9,29.9,NA,NA,NA,NA,NA,NA
"200910111001-020",2009,10,11,"10:01",20,"E",25.082,-81.063,"10/11/2009","West",NA,NA,NA,331.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.3,30,NA,NA,NA,NA,NA,NA
"200910111048-119",2009,10,11,"10:48",119,"N",25.063,-80.973,"10/11/2009","West",NA,NA,NA,392.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.5,30,NA,NA,NA,NA,NA,NA
"200910111032-108",2009,10,11,"10:32",108,"E",25.052,-80.987,"10/11/2009","West",NA,NA,NA,399,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.6,30.1,NA,NA,NA,NA,NA,NA
"200910110822-136",2009,10,11,"8:22",136,"S",25.023,-80.912,"10/11/2009","West",NA,NA,NA,455.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.4,30.1,NA,NA,NA,NA,NA,NA
"200910111141-145",2009,10,11,"11:41",145,"E",25.072,-80.933,"10/11/2009","West",NA,NA,NA,329.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.9,30.1,NA,NA,NA,NA,NA,NA
"200910110859-122",2009,10,11,"8:59",122,"E",25.025,-80.938,"10/11/2009","West",NA,NA,NA,445.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.8,30.2,NA,NA,NA,NA,NA,NA
"200910111122-146",2009,10,11,"11:22",146,"S",25.059,-80.921,"10/11/2009","West",NA,NA,NA,522.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.5,30.2,NA,NA,NA,NA,NA,NA
"200910110841-123",2009,10,11,"8:41",123,"S",25.012,-80.926,"10/11/2009","West",NA,NA,NA,426.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.4,30.4,NA,NA,NA,NA,NA,NA
"200910111242-157",2009,10,11,"12:42",157,"S",25.096,-80.931,"10/11/2009","West",NA,NA,NA,497.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.7,30.5,NA,NA,NA,NA,NA,NA
"200910111202-167",2009,10,11,"12:02",167,"S",25.106,-80.917,"10/11/2009","West",NA,NA,NA,270.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.2,30.6,NA,NA,NA,NA,NA,NA
"200910111301-143",2009,10,11,"13:01",143,"W",25.099,-80.958,"10/11/2009","West",NA,NA,NA,438.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.6,30.9,NA,NA,NA,NA,NA,NA
"200910111325-068",2009,10,11,"13:25",68,"N",25.121,-80.955,"10/11/2009","West",NA,NA,NA,560.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.7,31.4,NA,NA,NA,NA,NA,NA
"200910111347-156",2009,10,11,"13:47",156,"N",25.108,-80.943,"10/11/2009","West",NA,NA,NA,483,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,31.5,NA,NA,NA,NA,NA,NA
"200910111435-171",2009,10,11,"14:35",171,"N",25.117,-80.903,"10/11/2009","West",NA,NA,NA,483,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.6,31.7,NA,NA,NA,NA,NA,NA
"200910111408-071",2009,10,11,"14:08",71,"W",25.119,-80.929,"10/11/2009","West",NA,NA,NA,352.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.7,32.1,NA,NA,NA,NA,NA,NA
"200910111457-174",2009,10,11,"14:57",174,"W",25.128,-80.889,"10/11/2009","West",NA,NA,NA,344.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.1,32.3,NA,NA,NA,NA,NA,NA
"200910111522-169",2009,10,11,"15:22",169,"N",25.081,-80.893,"10/11/2009","West",NA,NA,NA,422.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.2,32.5,NA,NA,NA,NA,NA,NA
"200910111545-175",2009,10,11,"15:45",175,"S",25.115,-80.877,"10/11/2009","West",NA,NA,NA,321.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.5,32.8,NA,NA,NA,NA,NA,NA
"200910121018-312",2009,10,12,"10:18",312,"S",25.139,-80.733,"10/12/2009","Whipray",NA,NA,NA,491.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.5,28.7,NA,NA,NA,NA,NA,NA
"200910121123-279",2009,10,12,"11:23",279,"S",25.133,-80.797,"10/12/2009","Rankin",NA,NA,NA,369.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.2,28.9,NA,NA,NA,NA,NA,NA
"200910121052-290",2009,10,12,"10:52",290,"E",25.131,-80.771,"10/12/2009","Whipray",NA,NA,NA,403.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.2,28.9,NA,NA,NA,NA,NA,NA
"200910121036-609",2009,10,12,"10:36",609,"W",25.141,-80.757,"10/12/2009","Whipray",NA,NA,NA,222.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.2,29,NA,NA,NA,NA,NA,NA
"200910120943-291",2009,10,12,"9:43",291,"W",25.118,-80.76,"10/12/2009","Whipray",NA,NA,NA,510.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.5,29.1,NA,NA,NA,NA,NA,NA
"200910121001-301",2009,10,12,"10:01",301,"E",25.129,-80.745,"10/12/2009","Whipray",NA,NA,NA,432.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.8,29.1,NA,NA,NA,NA,NA,NA
"200910120901-302",2009,10,12,"9:01",302,"W",25.116,-80.734,"10/12/2009","Whipray",NA,NA,NA,522.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.6,29.1,NA,NA,NA,NA,NA,NA
"200910121109-280",2009,10,12,"11:09",280,"W",25.12,-80.785,"10/12/2009","Rankin",NA,NA,NA,438.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.4,29.3,NA,NA,NA,NA,NA,NA
"200910121225-237",2009,10,12,"12:25",237,"W",25.126,-80.863,"10/12/2009","Rankin",NA,NA,NA,344.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.7,29.7,NA,NA,NA,NA,NA,NA
"200910121153-265",2009,10,12,"11:53",265,"E",25.135,-80.823,"10/12/2009","Rankin",NA,NA,NA,380.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.7,29.8,NA,NA,NA,NA,NA,NA
"200910121211-251",2009,10,12,"12:11",251,"W",25.13252,-80.85127,"10/12/2009","Rankin",NA,NA,NA,203.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.1,29.9,NA,NA,NA,NA,NA,NA
"200910121332-267",2009,10,12,"13:32",267,"W",25.109,-80.799,"10/12/2009","Rankin",NA,NA,NA,453.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.5,29.9,NA,NA,NA,NA,NA,NA
"200910121140-278",2009,10,12,"11:40",278,"W",25.145,-80.809,"10/12/2009","Rankin",NA,NA,NA,333.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.9,29.9,NA,NA,NA,NA,NA,NA
"200910121422-256",2009,10,12,"14:22",256,"W",25.074,-80.787,"10/12/2009","Whipray",NA,NA,NA,480.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.8,30.1,NA,NA,NA,NA,NA,NA
"200910121314-266",2009,10,12,"13:14",266,"E",25.122,-80.811,"10/12/2009","Rankin",NA,NA,NA,562.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.6,30.1,NA,NA,NA,NA,NA,NA
"200910121350-281",2009,10,12,"13:50",281,"S",25.107,-80.774,"10/12/2009","Whipray",NA,NA,NA,464.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.3,30.1,NA,NA,NA,NA,NA,NA
"200910121505-282",2009,10,12,"15:05",282,"E",25.094,-80.762,"10/12/2009","Whipray",NA,NA,NA,417.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.8,30.1,NA,NA,NA,NA,NA,NA
"200910121526-283",2009,10,12,"15:26",283,"W",25.081,-80.75,"10/12/2009","Whipray",NA,NA,NA,543.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.1,30.5,NA,NA,NA,NA,NA,NA
"200910121438-269",2009,10,12,"14:38",269,"N",25.083,-80.776,"10/12/2009","Whipray",NA,NA,NA,512.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.9,30.6,NA,NA,NA,NA,NA,NA
"200910121604-284",2009,10,12,"16:04",284,"S",25.069,-80.738,"10/12/2009","Whipray",NA,NA,NA,386.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.5,30.7,NA,NA,NA,NA,NA,NA
"200910121545-294",2009,10,12,"15:45",294,"W",25.078,-80.728,"10/12/2009","Whipray",NA,NA,NA,510.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.7,30.7,NA,NA,NA,NA,NA,NA
"200910121405-268",2009,10,12,"14:05",268,"E",25.09653,-80.78766,"10/12/2009","Whipray",NA,NA,NA,317.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.3,31.2,NA,NA,NA,NA,NA,NA
"200910131006-241",2009,10,13,"10:06",241,"E",25.075,-80.816,"10/13/2009","Rankin",NA,NA,NA,371.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.1,28.2,NA,NA,NA,NA,NA,NA
"200910130949-242",2009,10,13,"9:49",242,"W",25.062,-80.804,"10/13/2009","Rankin",NA,NA,NA,445.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.1,28.4,NA,NA,NA,NA,NA,NA
"200910130859-258",2009,10,13,"8:59",258,"S",25.047,-80.766,"10/13/2009","Whipray",NA,NA,NA,510.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.6,28.4,NA,NA,NA,NA,NA,NA
"200910130835-257",2009,10,13,"8:35",257,"N",25.06,-80.778,"10/13/2009","Whipray",NA,NA,NA,474.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.9,28.5,NA,NA,NA,NA,NA,NA
"200910130755-271",2009,10,13,"7:55",271,"E",25.058,-80.752,"10/13/2009","Whipray",NA,NA,NA,525,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.6,28.5,NA,NA,NA,NA,NA,NA
"200910130933-243",2009,10,13,"9:33",243,"N",25.049,-80.792,"10/13/2009","Rankin",NA,NA,NA,468.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.9,28.6,NA,NA,NA,NA,NA,NA
"200910131022-255",2009,10,13,"10:22",255,"N",25.085,-80.802,"10/13/2009","Rankin",NA,NA,NA,443.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.4,28.6,NA,NA,NA,NA,NA,NA
"200910130819-270",2009,10,13,"8:19",270,"W",25.071,-80.764,"10/13/2009","Whipray",NA,NA,NA,403.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.8,28.6,NA,NA,NA,NA,NA,NA
"200910130916-244",2009,10,13,"9:16",244,"S",25.036,-80.78,"10/13/2009","Rankin",NA,NA,NA,438.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.1,28.8,NA,NA,NA,NA,NA,NA
"200910131056-253",2009,10,13,"10:56",253,"S",25.111,-80.825,"10/13/2009","Rankin",NA,NA,NA,245.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.7,28.8,NA,NA,NA,NA,NA,NA
"200910131043-254",2009,10,13,"10:43",254,"S",25.098,-80.814,"10/13/2009","Rankin",NA,NA,NA,399,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.2,28.8,NA,NA,NA,NA,NA,NA
"200910131115-239",2009,10,13,"11:15",239,"E",25.1,-80.839,"10/13/2009","Rankin",NA,NA,NA,218.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.7,29.1,NA,NA,NA,NA,NA,NA
"200910131213-224",2009,10,13,"12:13",224,"S",25.09,-80.853,"10/13/2009","Rankin",NA,NA,NA,283.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.1,29.2,NA,NA,NA,NA,NA,NA
"200910131246-226",2009,10,13,"12:46",226,"S",25.064,-80.83,"10/13/2009","Rankin",NA,NA,NA,415.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,29.3,NA,NA,NA,NA,NA,NA
"200910131158-240",2009,10,13,"11:58",240,"S",25.088,-80.828,"10/13/2009","Rankin",NA,NA,NA,480.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.1,29.4,NA,NA,NA,NA,NA,NA
"200910131228-225",2009,10,13,"12:28",225,"S",25.077,-80.842,"10/13/2009","Rankin",NA,NA,NA,478.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.7,29.6,NA,NA,NA,NA,NA,NA
"200910131334-229",2009,10,13,"13:34",229,"N",25.026,-80.794,"10/13/2009","Rankin",NA,NA,NA,491.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.1,29.7,NA,NA,NA,NA,NA,NA
"200910131301-227",2009,10,13,"13:01",227,"E",25.051,-80.818,"10/13/2009","Rankin",NA,NA,NA,262.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.5,30.4,NA,NA,NA,NA,NA,NA
"200910131319-228",2009,10,13,"13:19",228,"W",25.038,-80.806,"10/13/2009","Rankin",NA,NA,NA,228.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.1,30.7,NA,NA,NA,NA,NA,NA
"200911071305-618",2009,11,7,"13:05",618,"E",25.159,-80.677,"11/7/2009","Crocodile",NA,NA,NA,485.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,25.5,NA,NA,NA,NA,NA,NA
"200911071050-301",2009,11,7,"10:50",301,"S",25.129,-80.745,"11/7/2009","Whipray",NA,NA,NA,537.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,26,NA,NA,NA,NA,NA,NA
"200911071112-302",2009,11,7,"11:12",302,"W",25.116,-80.734,"11/7/2009","Whipray",NA,NA,NA,535.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,26,NA,NA,NA,NA,NA,NA
"200911070916-303",2009,11,7,"9:16",303,"N",25.103,-80.722,"11/7/2009","Crocodile",NA,NA,NA,579.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,26,NA,NA,NA,NA,NA,NA
"200911070809-304",2009,11,7,"8:09",304,"N",25.088,-80.713,"11/7/2009","Crocodile",NA,NA,NA,470.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.2,26,NA,NA,NA,NA,NA,NA
"200911071015-312",2009,11,7,"10:15",312,"W",25.139,-80.733,"11/7/2009","Whipray",NA,NA,NA,504,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,26,NA,NA,NA,NA,NA,NA
"200911070936-313",2009,11,7,"9:36",313,"W",25.126,-80.72,"11/7/2009","Crocodile",NA,NA,NA,422.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,26,NA,NA,NA,NA,NA,NA
"200911070859-314",2009,11,7,"8:59",314,"N",25.114,-80.708,"11/7/2009","Crocodile",NA,NA,NA,483,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,26,NA,NA,NA,NA,NA,NA
"200911070844-315",2009,11,7,"8:44",315,"W",25.101,-80.696,"11/7/2009","Crocodile",NA,NA,NA,422.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.4,26,NA,NA,NA,NA,NA,NA
"200911070956-323",2009,11,7,"9:56",323,"W",25.137,-80.705,"11/7/2009","Crocodile",NA,NA,NA,474.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,26,NA,NA,NA,NA,NA,NA
"200911071408-401",2009,11,7,"14:08",401,"W",25.135,-80.68,"11/7/2009","Crocodile",NA,NA,NA,501.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,26,NA,NA,NA,NA,NA,NA
